Tweet,Fecha,Locacion,Coordenadas
"#DefendamosLasAfores NO permitamos que @lopezobrador_ y su camarilla de ineptos tiren al WC de @Pemex , #DosBocas y… https://t.co/heyjJ5Z4WY",Wed Apr 22 03:10:06 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
Colocación de wc de una sola pieza con haciento de madera cambiando juntaproel pijas y aplicación de cemento blanco… https://t.co/HvdF8N33mB,Thu Apr 23 04:30:56 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"Colocación de wc de una sola pieza con asiento de madera cambiando junta proel, pijas y aplicación de cemento blanc… https://t.co/Ojdr7XTZtq",Thu Apr 23 04:39:12 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"Es la primera vez (de la mañana) que entro al WC &amp; santa ostia del universo maximo, no sabía que un cuerpo humano p… https://t.co/HVoGSZqu8u",Wed Apr 01 15:07:55 +0000 2020,"Hermosillo, Sonora","[[[-112.615459, 28.228442], [-112.615459, 29.711283], [-110.380903, 29.711283], [-110.380903, 28.228442]]]"
@NathanTippins @ForzaIn98116150 @QwesiFresh @brfootball Flawless in the wc penalties and champion,Fri Apr 03 08:04:20 +0000 2020,"Hermosillo, Sonora","[[[-112.615459, 28.228442], [-112.615459, 29.711283], [-110.380903, 29.711283], [-110.380903, 28.228442]]]"
"¿Qué pedo? Hasta ahorita me voy entrando que WC es Water-Closet ""Armario de Agua"". https://t.co/20Uzws1Cj7",Fri Apr 03 20:08:30 +0000 2020,"Mazatlán, Sinaloa","[[[-106.619116, 23.068553], [-106.619116, 23.867727], [-105.924379, 23.867727], [-105.924379, 23.068553]]]"
solo necesito un Nigeria WC 2018 home kit para ser feliz,Tue Apr 07 07:33:43 +0000 2020,"Juárez, Nuevo León","[[[-100.242361, 25.510904], [-100.242361, 25.705759], [-99.995403, 25.705759], [-99.995403, 25.510904]]]"
O que no le jalaras a la taza del wc porque te salia la mano peluda😁,Sun Apr 12 19:47:46 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
@viriwonder Yo me quise escapar por una ventana en una peda y rompí el wc de un hotel 🤨🤣,Sun Apr 12 23:17:09 +0000 2020,"Tijuana, Baja California","[[[-117.298421, 32.098292], [-117.298421, 32.567461], [-116.559783, 32.567461], [-116.559783, 32.098292]]]"
@vanehupp 10. Marco Tardelli. WC final 82 https://t.co/DCCk43VuQv,Wed Apr 15 18:12:37 +0000 2020,"Monterrey, Nuevo León","[[[-100.421037, 25.480538], [-100.421037, 25.802899], [-100.166146, 25.802899], [-100.166146, 25.480538]]]"
"Aprendí que antes de hacer limpieza profunda en el WC debo de 💩💩💩💩.

Nada, esestodoeltui",Thu Apr 16 04:07:29 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
Y qué voy tapando el WC de la oficina 🤭,Thu Apr 16 17:26:53 +0000 2020,"Campeche, México","[[[-90.693549, 19.2393], [-90.693549, 19.963528], [-89.860731, 19.963528], [-89.860731, 19.2393]]]"
"La raya en el WC me parece realmente asquerosa. Las otras interesantes 😂
Lo que hace el ocio #bansky 
https://t.co/6x62u8Xa3b",Thu Apr 16 23:32:19 +0000 2020,"Álvaro Obregón, Distrito Federal","[[[-99.324375, 19.232228], [-99.324375, 19.403856], [-99.171644, 19.403856], [-99.171644, 19.232228]]]"
"La rata en el WC me parece realmente asquerosa. Las otras se ven interesantes. Lo que hace el encierro #Bansky 
😜
https://t.co/6x62u8Xa3b",Thu Apr 16 23:47:12 +0000 2020,"Álvaro Obregón, Distrito Federal","[[[-99.324375, 19.232228], [-99.324375, 19.403856], [-99.171644, 19.403856], [-99.171644, 19.232228]]]"
Cuando me enfermo me da un montón de sed pero así increíble cual cruda de dos días jaja y por ende eso ir al WC como 84828191 veces 🥺,Fri Apr 17 04:28:06 +0000 2020,"Mineral de la Reforma, Hidalgo","[[[-98.771665, 19.980272], [-98.771665, 20.127165], [-98.659454, 20.127165], [-98.659454, 19.980272]]]"
"Pensaba cambiar y ser igual, pero naaaaaa, mejor alv esas 💩💩. Ya van varias que estan en el wc 🤭",Sat Apr 18 12:53:53 +0000 2020,"Jiutepec, Morelos","[[[-99.217498, 18.836722], [-99.217498, 18.936651], [-99.119803, 18.936651], [-99.119803, 18.836722]]]"
@Tu_Bombonzito Wc sucio 🤮🤮,Sun Apr 19 21:24:40 +0000 2020,"Carmen, Campeche","[[[-92.468889, 17.873531], [-92.468889, 19.032122], [-90.797686, 19.032122], [-90.797686, 17.873531]]]"
"@callodehacha @HLGatell Como a tí no se te acercan ni las moscas de WC para tí que facil resulta mantener la sana distancia, @callodehacha",Mon Apr 20 22:10:18 +0000 2020,"Villa de Álvarez, Colima","[[[-104.031343, 19.219302], [-104.031343, 19.434628], [-103.644297, 19.434628], [-103.644297, 19.219302]]]"
@DaddyCoolJS @JaneMe_2211 Desde lo de Bartlett se supo. Además ella es peor de asquerosa que un trapeador de WC Público.,Tue Apr 28 01:56:11 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
@bta_Demian Va a enterrar si k ki ta porque no conoce el wc solo letrina,Wed Apr 29 22:11:13 +0000 2020,"Ciudad Madero, Tamaulipas","[[[-97.86013, 22.237664], [-97.86013, 22.328388], [-97.784943, 22.328388], [-97.784943, 22.237664]]]"
"@R_SalazarTD Kikín fue también a Europa después de la WC de GER.

No es x defender a Hugo pero a él lo echaron x pe… https://t.co/ww1Fysw6er",Thu Apr 30 01:31:45 +0000 2020,"Guanajuato, México","[[[-101.437013, 20.826352], [-101.437013, 21.224641], [-101.063255, 21.224641], [-101.063255, 20.826352]]]"
@RahulkMx El wc justo donde esta,Sat May 02 22:56:31 +0000 2020,"Puebla, México","[[[-98.289206, 18.83765], [-98.289206, 19.226809], [-98.019327, 19.226809], [-98.019327, 18.83765]]]"
"@Xavitarnus @The7Serpare @ARCE_EBH Vivirá por siempre en nuestros corazones...
Sus intentos de WC Timurida.",Sun May 03 17:22:25 +0000 2020,"General Escobedo, Nuevo León","[[[-100.465272, 25.716689], [-100.465272, 25.89794], [-100.265275, 25.89794], [-100.265275, 25.716689]]]"
Hoy 🍺 partyseo-tour de mi sala al comedor y recamara y el After en mi WC https://t.co/tRijQMMsSR,Sat May 09 22:31:13 +0000 2020,"Mexicali, Baja California","[[[-115.818421, 30.86042], [-115.818421, 32.718919], [-114.639939, 32.718919], [-114.639939, 30.86042]]]"
@Mitocondriaco1 @ThomasHueyapan @LunaGilVent WC hobby,Mon May 11 00:01:21 +0000 2020,"Puerto Vallarta, Jalisco","[[[-105.324392, 20.471599], [-105.324392, 20.922506], [-104.972769, 20.922506], [-104.972769, 20.471599]]]"
"@StinkerGod La verdad que si Bro, o te sientas en el wc o esperas a que se te baje",Mon May 11 14:08:31 +0000 2020,"Campeche, México","[[[-90.693549, 19.2393], [-90.693549, 19.963528], [-89.860731, 19.963528], [-89.860731, 19.2393]]]"
"@qtf Fer, WC es water case no?",Tue May 12 16:05:24 +0000 2020,"Zapopan, Jalisco","[[[-103.664175, 20.583418], [-103.664175, 20.997896], [-103.305374, 20.997896], [-103.305374, 20.583418]]]"
@AlejaandraPf te quiero 😘 besos desde el wc 🚽,Wed May 13 00:16:23 +0000 2020,"Zapopan, Jalisco","[[[-103.664175, 20.583418], [-103.664175, 20.997896], [-103.305374, 20.997896], [-103.305374, 20.583418]]]"
"Entre al wc y mi mamá me gritó que había tirado todo el tequila en el lavabo porque estaba enojada, por si el baño… https://t.co/ZmCPxdnp8r",Sat May 16 08:46:11 +0000 2020,"Ciudad Madero, Tamaulipas","[[[-97.86013, 22.237664], [-97.86013, 22.328388], [-97.784943, 22.328388], [-97.784943, 22.237664]]]"
Otra vez le oriné la cabeza al gato por asomarse al WC mientras hacía lo mío. 🤦🏻‍♂️ https://t.co/8zyMJeKcLn,Sun May 17 05:25:58 +0000 2020,"Polanco II Sección, Miguel Hidalgo","[[[-99.207385, 19.434061], [-99.207385, 19.438614], [-99.20096, 19.438614], [-99.20096, 19.434061]]]"
"Tres veces al wc en menos de 5 horas... Ya califica como ""enfermo del estómago""?",Mon May 18 02:33:49 +0000 2020,"Celaya, Guanajuato","[[[-100.913535, 20.356869], [-100.913535, 20.688514], [-100.630887, 20.688514], [-100.630887, 20.356869]]]"
"@franps73 @formulers Desde luego que el líder natural era Vettel, era el WC en el equipo, pero Leclerc ha demostrad… https://t.co/2kJeIQYbiG",Mon May 18 20:02:57 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
@s83exy Y el Wc lo sabe 🚽,Tue May 19 17:14:51 +0000 2020,"Gustavo A. Madero, Distrito Federal","[[[-99.180678, 19.444937], [-99.180678, 19.592375], [-99.051103, 19.592375], [-99.051103, 19.444937]]]"
"@SergioSarmiento Salen del WC tanto chairo bot. No me sorprende, pululan en la kk del kks.",Fri May 22 04:19:26 +0000 2020,"Corregidora, Querétaro Arteaga","[[[-100.508629, 20.361791], [-100.508629, 20.595719], [-100.370833, 20.595719], [-100.370833, 20.361791]]]"
@rthur013 Así si dan ganas d tener tu wc rechinando d limpio,Sun May 24 04:31:06 +0000 2020,"Guadalajara, Jalisco","[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]"
@CiroGomezL @epigmenioibarra Prefiero el olor de WC a estar cerca de un Ciro apagado por la corrupción.Epigmenio pr… https://t.co/m4BLd4xHML,Fri May 29 20:56:23 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
@NiniaChef Puedes comprar un cepillo como los que usas para lavar el wc y usarlo exclusivamente para trastes,Mon Jun 08 13:57:11 +0000 2020,"San Pedro Garza García, Nuevo León","[[[-100.425188, 25.583557], [-100.425188, 25.717018], [-100.306878, 25.717018], [-100.306878, 25.583557]]]"
Si Lopez Doriga o Loret De Mola no confirman la muerte de El Mencho para mí esto sigue siendo como un WC público.,Sat Jun 13 02:10:48 +0000 2020,"Minatitlán, Veracruz de Ignacio de la Llave","[[[-94.657741, 17.31782], [-94.657741, 18.095762], [-94.124084, 18.095762], [-94.124084, 17.31782]]]"
neta que ya tengo miedo de levantarme e ir al baño desde que se metió una culebra y la encontré detrás de mi wc 🚽 😰😭😭,Mon Jun 15 06:41:17 +0000 2020,"Solidaridad, Quintana Roo","[[[-87.777003, 20.356869], [-87.777003, 20.812192], [-86.916961, 20.812192], [-86.916961, 20.356869]]]"
@RicardoFregozo3 Es como ver la tasa del wc después de una diarrea por comer mariscos en mal estado!!🤮🤮🤮🤮🤮,Tue Jun 16 20:47:18 +0000 2020,"Zapopan, Jalisco","[[[-103.664175, 20.583418], [-103.664175, 20.997896], [-103.305374, 20.997896], [-103.305374, 20.583418]]]"
@Villota94 Depende si vas al wc se baja si te vas a bañar se quita  😂😂😂😂,Wed Jun 17 19:01:15 +0000 2020,"San Fernando, Chiapas","[[[-93.320672, 16.793558], [-93.320672, 17.031296], [-93.092183, 17.031296], [-93.092183, 16.793558]]]"
@LaloGonzalezM No eres el único Lalo lo peor es que yo la oigo cuando estoy en el wc o bañándome,Wed Jun 24 22:33:46 +0000 2020,"Miguel Hidalgo, Distrito Federal","[[[-99.259495, 19.386371], [-99.259495, 19.473498], [-99.163526, 19.473498], [-99.163526, 19.386371]]]"
El wc recién lavado // Yo dejando un crayolazo que ni bajándole dos veces se borra: https://t.co/FSYYJtdIv8,Tue Jun 30 13:56:54 +0000 2020,"Guadalajara, Jalisco","[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]"
@UnnaTuitera @BeAcevedoTachna Ir al WC y no haberte fijado que no había papel,Wed Jul 01 19:28:19 +0000 2020,"Tepic, Nayarit","[[[-105.147236, 21.393999], [-105.147236, 21.859333], [-104.597879, 21.859333], [-104.597879, 21.393999]]]"
Acabo de descubrir que ya NO puedo comer danonino 😔 me manda directito al WC 🚽 💩 😖 #Notyounganymore,Thu Jul 02 04:02:30 +0000 2020,"Coatzacoalcos, Veracruz de Ignacio de la Llave","[[[-94.637726, 18.061419], [-94.637726, 18.209491], [-94.227238, 18.209491], [-94.227238, 18.061419]]]"
"@magazo69 Están horribles, el día de ayer cene ahí y sigo sin poder salir del WC #SeTeniaQueDecirYseDijo",Thu Jul 02 07:27:53 +0000 2020,"Cuautitlán Izcalli, México","[[[-99.294897, 19.580497], [-99.294897, 19.732082], [-99.172417, 19.732082], [-99.172417, 19.580497]]]"
"Active WC súper efectivo!
#Stanhome  #Xalapa en Xalapa, Mexico https://t.co/gqEMfiQ1YG",Mon Jul 06 10:26:06 +0000 2020,"Xalapa, Veracruz de Ignacio de la Llave","[[[-96.971524, 19.48425], [-96.971524, 19.599858], [-96.800642, 19.599858], [-96.800642, 19.48425]]]"
"@DonPorfifirio @Mex_Libertario Que compartan  mingitorio, wc y papel",Tue Jul 07 20:39:36 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
