Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
Trementa tormenta en la CDMX Zona Iztacalco... Los aguaceros de mayo dice la canción ☔ https://t.co/zsJuVS6Wig,Wed Apr 22 01:42:24 +0000 2020,Ciudad de México,Iztacalco,U,-99.09649599999999,19.399101,404695
@beltrandelrio Manden esos aguaceros para aca (bajio-centro) tanto nos hacen falta,Wed Apr 22 04:49:10 +0000 2020,San Luis Potosí,San Luis Potosí,R,-100.955511,22.3111195,18
Me agüita que haya tantas nubes negras y no llueva. Unos buenos aguaceros en esta cuarentena me harían muy feliz...,Sat May 02 21:08:24 +0000 2020,Aguascalientes,Aguascalientes,R,-102.327207,21.849459000000003,0
@MtyFollow Woow muy impresionante creó que NUNCA se había visto algo Así en Mty N.L.  los Aguaceros de MAYO se está… https://t.co/mCh1Os2GPs,Sat May 09 01:35:05 +0000 2020,Nuevo León,Apodaca,R,-100.27047400000001,25.736714999999997,0
"Entrando a #Villahermosa y viendo que ya casi cae el aguacero 
#Tabasco 
@rociojimenez15 https://t.co/CTo1XsRqM3",Fri May 22 15:36:08 +0000 2020,Tabasco,Nacajuca,R,-92.9164995,18.0219595,432
"Los buenos aguaceros de #CiudadConejo

Mientras aquí en el pinshe #Chilango tienen al #Burro entre nada de lluvia,… https://t.co/Z1oQkBkWXm",Fri Jun 05 16:44:51 +0000 2020,Ciudad de México,Miguel Hidalgo,U,-99.184817,19.41099,414470
Urge lleguen los aguaceros a cdmx https://t.co/4nozwzK20e,Fri Jun 05 22:18:51 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
Y después de 4hrs allí seguía tirado en la calle y al cuerpo le cayó él aguaceros por qué el #MinisterioPublico no… https://t.co/Qs4rh5ZcIu,Thu Jun 11 06:23:20 +0000 2020,Tabasco,Tenosique,R,-91.3043365,17.459851,360
@_LASNOTICIASMTY Buenos Días Santos Aguaceros BATMAN ☕#DespertamosJuntos si que nos está Cayendo el Cielo desde San… https://t.co/ex6atSf3cQ,Thu Jun 11 13:07:53 +0000 2020,Nuevo León,Apodaca,R,-100.27047400000001,25.736714999999997,0
Me da un buen de miedo que no llueve en Guadalajara. El año antepasado y pasado ya estaban cayendo aguaceros y se i… https://t.co/kq4DmliySs,Thu Jun 18 13:28:43 +0000 2020,Jalisco,Zapopan,R,-103.48477450000001,20.790657000000003,40
"Se supone que con los aguaceros duermo mejor, pero Thor y Tláloc traen un duelo muy rudo  #trueno",Mon Jun 22 11:39:12 +0000 2020,México,Nezahualcóyotl,R,-99.087817,19.4320755,0
