Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
Ya se me olvidó cómo abrochar un brassiere,Tue Apr 21 23:35:47 +0000 2020,Sinaloa,"Ahome, El Porvenir",R,-109.1037265,25.921946500000004,841
Confirmen si toda la cuarentena han andado sin brassier,Tue Apr 21 23:55:07 +0000 2020,Quintana Roo,"Benito Juárez, Premasa del Caribe",R,-87.0316645,21.048719,0
@brujaporras Jajajajaja es una varilla de brassiere no?,Wed Apr 22 16:49:20 +0000 2020,Morelos,"Jiutepec, Colonia Toma de la Rueda",R,-99.1686505,18.886686500000003,32
Hoy es uno de esos días en los que siento que el bóxer hace lo mismo que el brasier con las mujeres. Solo estorba.,Wed Apr 22 18:01:25 +0000 2020,Hidalgo,"Huejutla de Reyes, Hueynali",R,-98.448182,21.145068000000002,480
@CocoaCalderon Es una pieza de un brassier,Wed Apr 22 18:26:15 +0000 2020,Querétaro,"Corregidora, La Cueva",R,-100.43973100000001,20.478755,2494
@brujaporras Jaja de tu brasier,Wed Apr 22 18:29:33 +0000 2020,México,"Ixtlahuaca, San Mateo Ixtlahuaca",R,-99.7966595,19.601820500000002,2245
Me puse brassier para ir q comprar... ya no se como le haré para regresar a usarlo me incomodó demasiado 🙃,Wed Apr 22 20:00:32 +0000 2020,Yucatán,"Mérida, Mérida",U,-89.62361100000001,20.941035,921771
"Un hombre casado no sabe que es?? Lo creería de un soltero, pero un casado...
Lo cual pienso, usas brassieres muy c… https://t.co/Atq1zk5MZC",Wed Apr 22 21:54:12 +0000 2020,Tamaulipas,"Río Bravo, Los Naranjos",R,-98.0124835,25.726919000000002,0
"@brujaporras Me parece que le falta algo a tu brassiere ja, ja, ja, ja,",Wed Apr 22 22:59:28 +0000 2020,Tlaxcala,"El Carmen Tequexquitla, Sebastián García",R,-97.6688895,19.3393985,5
Tampoco se que voy a hacer cuando regresemos a trabajar y tenga que volver a usar ese castigo llamado brasier ugh,Wed Apr 22 23:04:58 +0000 2020,Nuevo León,"Monterrey, Monterrey",U,-100.29359149999999,25.6417185,1142952
