Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
"@Angelocintosh Tal cual!!!! Así se metió!!!
Miaaaaau 🐱🐱🐱",Tue Apr 21 23:29:18 +0000 2020,Ciudad de México,"La Magdalena Contreras, La Magdalena Contreras",U,-99.24800950000001,19.318042,246428
@MacintoshCheese @LNV22 Jaja sí jalo,Wed Apr 22 00:56:34 +0000 2020,Michoacán de Ocampo,"Buenavista, San Isidro (Capullo)",R,-102.60234750000001,19.215121500000002,3
Plan gdl x san jacinto!! https://t.co/ZHQuT9bmT4,Wed Apr 22 00:56:35 +0000 2020,Jalisco,"Guadalajara, Guadalajara",U,-103.335882,20.676651999999997,1385621
"Se rompió mi cinto 2 minutos antes de salir (por eso esta metido en la falda), los zapatos me sacaron ampollas terr… https://t.co/fnB2lGwNac",Wed Apr 22 02:33:18 +0000 2020,Sonora,"Hermosillo, Vicente Guerrero",R,-111.498181,28.9698625,5
@YurkaPetrov @PoetDeanwilson6 Qué tipo es? Se que no es del tipo café inciso o recinto de la cuenca de México en el… https://t.co/NCYRDRjEKN,Wed Apr 22 04:38:44 +0000 2020,México,"Cuautitlán Izcalli, Ejido Santa María Tianguistengo",R,-99.233657,19.6562895,6730
"- Oraa, pero porqué está llorando Don Beto?

- No estoy llorando Jacinto, se me metió una basurita en el ojo...",Thu Apr 23 02:45:56 +0000 2020,Nuevo León,"Apodaca, El Tasajillo",R,-100.1687175,25.778679,0
@MiValedorMX y Jacinto seguimos juntos por los que más lo necesitan #AyudaAUnValedor con una comida que nosotros pr… https://t.co/YCGvx5afjz,Thu Apr 23 18:00:33 +0000 2020,Ciudad de México,"Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884
@FernandaRosasG JAJAJAJAJAJJA te extraño tanto :( extraño esas noches de Jacinto y Pepe,Fri Apr 24 04:44:07 +0000 2020,Guanajuato,"Celaya, El Alto",R,-100.772211,20.5226915,4
"@Conejo_Pascual @TamagotchiF Te falto la historia de @Jacinto_bunny ""el Guapo"".",Fri Apr 24 23:49:38 +0000 2020,Tamaulipas,"Matamoros, San Juan del Alto",R,-97.547392,25.558993,0
@Conejo_Pascual @Jacinto_bunny Ez de trez pataz como el Yólotl?,Sat Apr 25 00:18:49 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
"@estarc62 hola Esteban aclaracion Auditorio es un recinto a donde acude una audiencia en el caso del
radio. Los rad… https://t.co/rx0tU3tjHJ",Sat Apr 25 01:11:17 +0000 2020,Chihuahua,"Aldama, El Papalote",R,-106.1628985,28.941865999999997,0
@Jacinto_bunny @Conejo_Pascual @TamagotchiF El rey también.,Sat Apr 25 01:16:32 +0000 2020,Tamaulipas,"Matamoros, San Juan del Alto",R,-97.547392,25.558993,0
@gatitorelax @KoshkaElGatito @Jacinto_bunny @Conejo_Pascual Aci dise jroseriaz a mimama la Katty,Sat Apr 25 02:40:28 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
@Jacinto_bunny En serio que estás bien hermoso. Me encantas!!!! 😍😍😍😍,Sat Apr 25 02:50:44 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
