Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
@Itzelarsaiv Como cuando vas a casa de tu amiga y no te da cobija :( Jajajaja qué hermosa!,Tue Apr 21 22:54:07 +0000 2020,"Reynosa, Tamaulipas",-98.587332,25.445849,-98.587332,26.227286,-98.13773,26.227286,-98.13773,25.445849
@pearlcelis Los cacahuates saltando las cobijas para llegar hasta tu boca 😆😆😆,Wed Apr 22 01:43:40 +0000 2020,"Gustavo A. Madero, Distrito Federal",-99.180678,19.444937,-99.180678,19.592375,-99.051103,19.592375,-99.051103,19.444937
"Necesito una cobija,un abrazo y mucha nieve de chocolate.....",Wed Apr 22 03:37:12 +0000 2020,"Agua Prieta, Sonora",-109.724359,30.711358,-109.724359,31.334102,-108.683732,31.334102,-108.683732,30.711358
"Cuánta Paz y cuan cobijada en Zitácuaro, Michoacán de meus amores. A M O",Wed Apr 22 05:39:54 +0000 2020,"Zitácuaro, Michoacán de Ocampo",-100.484325,19.315423,-100.484325,19.555191,-100.175989,19.555191,-100.175989,19.315423
Yo iba a bajar mi pierna de la cama hasta que me acordé de tus historias y mejor me escondí en las cobijas @luiscavazosr,Wed Apr 22 06:48:59 +0000 2020,"Tecámac, México",-99.062664,19.602632,-99.062664,19.807727,-98.918015,19.807727,-98.918015,19.602632
@aleroblesb El @VictorEstevez_ y el @fredycobijas,Wed Apr 22 11:12:25 +0000 2020,"San Pedro Garza García, Nuevo León",-100.425188,25.583557,-100.425188,25.717018,-100.306878,25.717018,-100.306878,25.583557
"@Bolosos1 Recuerdo ese día en mi cama, jajaja es broma saludos tenemos la misma cobija https://t.co/YTlO8PmnM5",Wed Apr 22 13:04:44 +0000 2020,"Luvianos, México",-100.613313,18.818444,-100.613313,19.075545,-100.233477,19.075545,-100.233477,18.818444
"Que las cobijas sean las fronteras, que no haya leyes en nuestras maneras y para resolver nuetros problemas, nos de… https://t.co/Y9FsH1QvFk",Wed Apr 22 22:10:38 +0000 2020,"Miguel Hidalgo, Distrito Federal",-99.259495,19.386371,-99.259495,19.473498,-99.163526,19.473498,-99.163526,19.386371
@ElFinancieroTv @GHLicona @coneval @lopezobrador_ El acomplejado que arrastra cobija para que se conmuevan de él. E… https://t.co/VBzrNenfRt,Wed Apr 22 23:41:25 +0000 2020,México,-118.403857,14.531918,-118.403857,32.718919,-86.712218,32.718919,-86.712218,14.531918
"https://t.co/lFbvUOjrBw

Sobres ... Agréguenme Prros ... Fiesta Prros ... Ya sabanas pa que descobijan !!!
Si ya sa… https://t.co/L7kiYkMuDI",Thu Apr 23 01:54:25 +0000 2020,"Monterrey, Nuevo León",-100.421037,25.480538,-100.421037,25.802899,-100.166146,25.802899,-100.166146,25.480538
"Frazada Baphomet
1.40 x 1.90 mts
#baphomet #medieval #epocamedieval #deidad #frazadas #cobijas… https://t.co/8emazbX2Fn",Thu Apr 23 03:44:45 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
"¿Qué onda con la gente que se duerme sin cobijas? O sea compa, no porque haga calor voy a dejar que me jalen las patas no mms",Thu Apr 23 04:57:10 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
"Me quedé dormida sin almohada y sin cobija y cuándo desperté; tenía una almohada y una cobija, me encanta que tenga… https://t.co/ZgNySyVlCn",Thu Apr 23 06:51:39 +0000 2020,"Toluca, México",-99.782579,19.076393,-99.782579,19.49225,-99.528773,19.49225,-99.528773,19.076393
"Todavía que dejo a mis perros dormir en mi cama, se enojan porque jalo tantito la cobija ya que me tienen en la orilla",Thu Apr 23 09:14:35 +0000 2020,"Tijuana, Baja California",-117.298421,32.098292,-117.298421,32.567461,-116.559783,32.567461,-116.559783,32.098292
"-Wey, tus cobijas me hacen sudar 
-Es el alcohol

Aaah bueno gracias.",Thu Apr 23 12:23:59 +0000 2020,"Pachuca de Soto, Hidalgo",-98.863407,20.023592,-98.863407,20.187683,-98.688209,20.187683,-98.688209,20.023592
