Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
"Mi mamá y si intento fallido por rescatar las chuparrosas bebés del nido del árbol de afuera, RIP +",Tue Mar 31 21:50:42 +0000 2020,"Victoria, Tamaulipas",-99.42842,23.389556,-99.42842,23.982312,-98.947388,23.982312,-98.947388,23.389556
"Que cosa más linda es esta pizza. Apoco no?
Es la Pizza Chuparrosa, de chorizo Sinaloense. 
Una de las 5 pizzas clá… https://t.co/Ay8o0bTG3L",Mon May 04 22:04:40 +0000 2020,"Culiacán, Sinaloa",-107.806281,24.028162,-107.806281,25.296815,-106.877832,25.296815,-106.877832,24.028162
"Cuatro meses sin mi rosa
se cumplen en este día 
y como esa chuparrosa
confundida mi alma ansía
besar tus labios he… https://t.co/uTaY1H1gnL",Sat Jun 20 19:06:56 +0000 2020,"San Luis Potosí, México",-101.169792,21.959357,-101.169792,22.662882,-100.74123,22.662882,-100.74123,21.959357
@Fernand0Fl @yunguzijo @daniela_bouchez JAJAJAJA! Me acordé del Wilson diciéndonos: “pinches chuparrosas” 😂,Mon Jun 29 01:31:19 +0000 2020,"Culiacán, Sinaloa",-107.806281,24.028162,-107.806281,25.296815,-106.877832,25.296815,-106.877832,24.028162
"Cultura tepehuana.

“En el sol el curandero obtiene el poder para curar a los enfermos la Chuparrosa es el tercer e… https://t.co/3EufFRyGaT",Tue Jul 07 03:19:54 +0000 2020,"Tepic, Nayarit",-105.147236,21.393999,-105.147236,21.859333,-104.597879,21.859333,-104.597879,21.393999
"Chuparrosa en un torote🌿
Los Cabos Baja California Sur https://t.co/0sRbyZi8Ft",Thu Jul 09 23:02:52 +0000 2020,"Los Cabos, Baja California Sur",-110.119479,22.871889,-110.119479,23.667869,-109.413058,23.667869,-109.413058,22.871889
Según son murciélagos pero parecen chuparrosas,Sat Sep 05 07:42:27 +0000 2020,"Culiacán, Sinaloa",-107.806281,24.028162,-107.806281,25.296815,-106.877832,25.296815,-106.877832,24.028162
"#Peligro Nos reportan este poste en calle Centenario entre Chuparrosa y Río Bravo, en San Juan de Dios @Telmex",Mon Sep 21 12:20:44 +0000 2020,"León, Guanajuato",-101.833743,20.863352,-101.833743,21.332768,-101.369059,21.332768,-101.369059,20.863352
En calle Centenario (entre Chuparrosa y Río Bravo) van muchos autos que caen en esta zanja. @municipio_leon… https://t.co/oz1iYKa0l7,Sun Dec 27 18:24:10 +0000 2020,"León, Guanajuato",-101.833743,20.863352,-101.833743,21.332768,-101.369059,21.332768,-101.369059,20.863352
"💀💀
Chuparrosa y calle Nueva x disparos
17.25 hrs",Fri Jan 22 00:33:01 +0000 2021,"León, Guanajuato",-101.833743,20.863352,-101.833743,21.332768,-101.369059,21.332768,-101.369059,20.863352
"Jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja
Este chuparrosas es experto en pro… https://t.co/sDFYqobdl3",Fri Feb 05 22:27:36 +0000 2021,"Mazatlán, Sinaloa",-106.619116,23.068553,-106.619116,23.867727,-105.924379,23.867727,-105.924379,23.068553
"Festejando... 🙏🥰❤️

#MiCumpleaños
#DíaDeLaFamilia
#FestejoEnFamilia en La Chuparrosa https://t.co/iwe5mmZwJU",Sun Mar 07 21:26:46 +0000 2021,"Culiacán, Sinaloa",-107.806281,24.028162,-107.806281,25.296815,-106.877832,25.296815,-106.877832,24.028162
"No les dejen agua con azúcar a los colibries-chuparrosas en sus casas

No saben el daño que les hacen, además que p… https://t.co/N4ryYjmaXS",Thu Mar 11 23:24:11 +0000 2021,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
"A mí mamá la visitó una chuparrosa, no podía salir de la casa... dice que es un mensajero

Ya hizo un nido https://t.co/sr0m4NNacd",Sat Apr 03 14:14:49 +0000 2021,"Culiacán, Sinaloa",-107.806281,24.028162,-107.806281,25.296815,-106.877832,25.296815,-106.877832,24.028162
@tacobambu hey por qué quitaron #chuparrosas de #AppleMusic 😡😡😡😡 era mi canción favorita!!!,Sat May 29 15:38:52 +0000 2021,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
Para comenzar el día 😋 saludos en La Chuparrosa https://t.co/5n0SMxFNqe,Tue Jul 20 18:02:50 +0000 2021,"Culiacán, Sinaloa",-107.806281,24.028162,-107.806281,25.296815,-106.877832,25.296815,-106.877832,24.028162
@DavidFigueroaO Recuerda que aquí se les conoce como #chuparrosa y es muy cierto lo que señalas y el escuchar su ca… https://t.co/uTAwYSUBhh,Mon Nov 01 05:54:10 +0000 2021,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
El mejor regalo de #navidad #mezcal #chuparrosa 67/333 @mezcalamaras en Mérida Yucatán https://t.co/Y6TY9uWJVq,Fri Dec 24 17:32:25 +0000 2021,"Mérida, Yucatán",-89.798197,20.695104,-89.798197,21.186966,-89.449025,21.186966,-89.449025,20.695104
"Nos tocó ver mariposas, chuparrosas  y otros insectos polinizadores sobre ellas. Aquí les dejo una probadita de col… https://t.co/4O7TeemvBd",Fri Jan 07 03:49:29 +0000 2022,"Playa Vicente, Veracruz de Ignacio de la Llave",-95.902905,17.566766,-95.902905,17.930546,-95.352639,17.930546,-95.352639,17.566766
