Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
"Escuchar a ""Tale of Us"" desde mi retrete obviamente 💩 ES DE LOS MEJORES PLACERES DE MI PUTA EXISTENCIA. 😍😍😍🤯 @taleofus",Wed Apr 22 17:36:43 +0000 2020,Tlaxcala,"Tlaxcala, Tlaxcala de Xicohténcatl",U,-98.24676550000001,19.3184175,13555
"Mascotas, títeres y retretes...🤭",Thu Apr 02 17:07:01 +0000 2020,Querétaro,"Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97
@emedranos LO MISMO QUE EN RETRETE CUANDO CAGO. PERO ESTOS NO SE VAN,Sat Apr 04 03:13:07 +0000 2020,México,"Toluca, San Mateo Otzacatipan",U,-99.60504750000001,19.326146,22574
@ivabelle_a @JTrianaT @HLGatell es el retrete de lopes.,Sat Apr 04 03:25:18 +0000 2020,Tlaxcala,"Xaltocan, San Miguel la Presa",R,-98.24392049999999,19.4198905,0
Los criollos apestoso ignorantes cara de retrete que viven parasitariamente en el #Anahuac: si tanto aman a su puta… https://t.co/m5F3wQWEnh,Sun Apr 05 05:30:23 +0000 2020,Ciudad de México,"Coyoacán, Coyoacán",U,-99.15234000000001,19.328383000000002,614447
Los criollos apestoso ignorantes con el síndrome de cara de retrete que viven parasitariamente en el #Anahuac: si t… https://t.co/bi7gzFeiUK,Sun Apr 05 05:35:47 +0000 2020,Ciudad de México,"Coyoacán, Coyoacán",U,-99.15234000000001,19.328383000000002,614447
"@Awesome_lml @vampipe Retrete, digo Retrato del fracaso.",Tue Apr 07 00:41:15 +0000 2020,Chihuahua,"Aldama, La Sotolosa",R,-105.4434145,29.112366499999997,0
"@pancho71 @HECTORITO @Pjaroloco2019 Intenta el Cura sin cura
Canonizar al vejete!
Va solicito al retrete
A lavar su… https://t.co/AhXFN5Esun",Wed Apr 08 03:10:02 +0000 2020,Jalisco,"Zapopan, Las Palomas",R,-103.48477450000001,20.790657000000003,0
@AcleTomasini Retrete diría yo,Sun Apr 26 22:17:53 +0000 2020,Tamaulipas,"Victoria, La Esperanza",R,-99.187904,23.685934,0
La única explicación para tener un retrete hecho de oro es para cagar bien rico.,Thu Apr 09 23:17:05 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
"@EstadioAkron Yo lo que veo es un bacin a donde sale a orinar todos los días!!!   Es un retrete ecológico; si no saben, no opinen.",Sat Apr 11 15:57:10 +0000 2020,Jalisco,"Guadalajara, Guadalajara",U,-103.335882,20.676651999999997,1385621
@LuElizabbeth @raa_faa_95 @NicoTorn1 Cara de retrete,Sun Apr 12 05:35:21 +0000 2020,México,"Tultepec, Paraje Trigo Tenco",R,-99.119063,19.678236,832
"101 horas por el retrete, aunque ahora todo será más rápido...
Espero",Sun Apr 12 13:45:07 +0000 2020,Ciudad de México,"La Magdalena Contreras, La Magdalena Contreras",U,-99.24800950000001,19.318042,246428
@Nixarim @ArtOfNe Perez-Retrete se refería a la libertad total... De los amigos de Franco para desfalcar y saquear… https://t.co/iLQ7SFzTZP,Mon Apr 20 11:38:32 +0000 2020,Nuevo León,"Guadalupe, Las Escobas",R,-100.196134,25.6766035,3
@Renee_Vargas No hay pedo hay un par de las que bebería el agua en que se bañan 🛀 y lamería el retrete 🚽 en el que se sientan.,Mon Apr 20 19:44:51 +0000 2020,Zacatecas,"Villa de Cos, La Soledad (Juan Antonio Cortés)",R,-102.5580375,23.6254185,2
"Amigos estaba guardado mi galleta espacial en mi baño, me subí en mi retrete y lo rompí me di el putazo de mi vida :(",Tue Apr 21 00:02:06 +0000 2020,Quintana Roo,"Isla Mujeres, Nueva Esperanza",R,-87.0541055,21.402667,3
"@ChumelTorres Florero, panera y hasta retrete por eso de los niveles de 💩, pero presidente, vemos 🤷🏻‍♂️ https://t.co/RjvrwU03i6",Mon Apr 27 22:03:57 +0000 2020,Guanajuato,"Salamanca, La Compañía",R,-101.17017200000001,20.651612,464
