Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
De la nada nos tocaron la puerta del dormitorio lo cual está super raro por lo que les contaba de la discreción. O… https://t.co/aSQxCRjfDC,Thu Apr 23 06:53:29 +0000 2020,"Emiliano Zapata, Veracruz de Ignacio de la Llave",-96.906026,19.335614,-96.906026,19.575681,-96.538639,19.575681,-96.538639,19.335614
"En febrero entregamos artículos dormitorios, y con los esfuerzos de Protección Civil municipal se instalaron para g… https://t.co/8Gx2FoqyBM",Fri Apr 24 20:35:39 +0000 2020,"Acuña, Coahuila de Zaragoza",-102.906352,28.965579,-102.906352,29.880026,-100.848059,29.880026,-100.848059,28.965579
"Ahora por el contexto de la pandemia, los artículos dormitorios están siendo utilizados para albergar personas en c… https://t.co/0kBI7krlxD",Fri Apr 24 20:40:32 +0000 2020,"Acuña, Coahuila de Zaragoza",-102.906352,28.965579,-102.906352,29.880026,-100.848059,29.880026,-100.848059,28.965579
"Ahora por el contexto de la pandemia, los artículos de dormitorio están siendo utilizados para albergar personas en… https://t.co/szOlnOffTR",Fri Apr 24 20:47:17 +0000 2020,"Acuña, Coahuila de Zaragoza",-102.906352,28.965579,-102.906352,29.880026,-100.848059,29.880026,-100.848059,28.965579
"Por ahora la habitación es oficina, zona de arte y dormitorio./ Until now the bedroom is office, art zone and bedro… https://t.co/RICNcRYsFu",Fri Apr 24 21:23:15 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
"@atlxolotl Si, por eso yo dudo que puedas tener visitas, es más como vivienda dormitorio (a mi no me molesta que me vean bañarme) xD",Wed Apr 01 23:15:13 +0000 2020,"Azcapotzalco, Distrito Federal",-99.221136,19.456367,-99.221136,19.5152,-99.143116,19.5152,-99.143116,19.456367
"#Soldados y #COVID-19: de manejar tanques a cargar #enfermos

Los #soldados convertirán sus dormitorios en lugares… https://t.co/RZCIsaiUab",Thu Apr 02 03:11:50 +0000 2020,"Huixquilucan, México",-99.404165,19.305971,-99.404165,19.44218,-99.232692,19.44218,-99.232692,19.305971
"Tengo un dormitorio institucional perfecto para vivir... y #AsiEsMiHomeOffice, no necesito más para lo mucho o poco… https://t.co/5FWnBuzL7Y",Fri Apr 03 03:10:20 +0000 2020,Centro de Investigación en Nutrición y Alimentación. UNISTMO.,-94.956445,16.53338,-94.956445,16.53338,-94.956445,16.53338,-94.956445,16.53338
@jmatuk Voy a ir a encerrarme en el dormitorio a llorar 🤣🤣🤣🤣,Sat Apr 04 00:47:55 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
"“Pues cuando en nuestros dormitorios ensayamos las diferentes posturas del amor, tú sola nos asistes y nadie te rec… https://t.co/FicV8vfaWn",Sat Apr 04 07:53:50 +0000 2020,"Cananea, Sonora",-110.543531,30.716352,-110.543531,31.264177,-109.868388,31.264177,-109.868388,30.716352
@saracastaon1 @fergar240214 @latinus_us @CarlosLoret Usan los dormitorios de tropa como hospital improvisado. Solo… https://t.co/SQdtCicThC,Mon Apr 06 05:35:28 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
"Y sigo teniendo el control del apagador del dormitorio!!!
😅🤣😂

#extrañomiguardia en Patronato del Cuerpo de Bombero… https://t.co/KBwjcp4ESB",Sun Apr 26 06:30:12 +0000 2020,"San Miguel de Allende, Guanajuato",-101.086138,20.711568,-101.086138,21.108455,-100.466251,21.108455,-100.466251,20.711568
