Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
"Si tú miel no tiene hormigas:

Realmente es miel?",Tue Apr 21 20:36:00 +0000 2020,Yucatán,"Mérida, Mérida",U,-89.62361100000001,20.941035,921771
@Hormiga74426118 @AnaMercedesDvi1 @MariaJe88580549 @OficialFrenaaa Jajajaja dan risa 😂😂 todos estos 👆 pinches bots… https://t.co/36a18XE5ng,Tue Apr 21 20:50:10 +0000 2020,Ciudad de México,"Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351
"Cosas que solo me pasan a mi:
-me picaron dos hormigas en el labio !!
Sii! En el puto labio !!!",Wed Apr 22 03:26:56 +0000 2020,Quintana Roo,"Benito Juárez, Premasa del Caribe",R,-87.0316645,21.048719,0
La 4T va contra el robó hormiga de medicamentos e insumos!!! #MueraLaCorrupcion,Wed Apr 22 03:33:15 +0000 2020,Michoacán de Ocampo,"Lázaro Cárdenas, La Higuera del Padre",R,-102.45755600000001,18.083858499999998,0
Si ya estás viendo hormigas entrenando para las olimpiadas... Tienes insomnio o batallas para conciliar el sueño?!… https://t.co/c1NRymIjvh,Wed Apr 22 03:55:46 +0000 2020,Sinaloa,"Culiacán, Santa Lucía",R,-107.3420565,24.6624885,0
"Miente esa hormiga desvelada, siempre diciendo medias verdades e inventando falacias",Wed Apr 22 04:07:39 +0000 2020,Baja California,"Mexicali, Ejido José Saldaña Número 2",R,-115.22918000000001,31.789669500000002,19
Entrar al grupo de las hormigas es lo mejor que ha pasado en la cuarentena jajaja,Wed Apr 22 04:29:06 +0000 2020,Quintana Roo,"Benito Juárez, Premasa del Caribe",R,-87.0316645,21.048719,0
"Lo que más me sorprende es el despilfarro del erario público en troles que salen como hormigas tras azúcar, cada qu… https://t.co/cLvMhKGme8",Wed Apr 22 04:31:35 +0000 2020,Ciudad de México,"Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884
"Lo que más me sorprende es el despilfarro del erario público en troles que salen como hormigas tras azúcar, cada qu… https://t.co/7hkRERGCQC",Wed Apr 22 04:32:58 +0000 2020,Ciudad de México,"Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884
"Lo que más me sorprende es el despilfarro del erario público en troles que salen como hormigas tras azúcar, cada qu… https://t.co/RBf7YlRtJL",Wed Apr 22 04:34:14 +0000 2020,Ciudad de México,"Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884
Hora de dormir hermosos dlb mañana los leo ando modo zombie entre calor moscos hormigas etc,Wed Apr 22 04:56:20 +0000 2020,Veracruz de Ignacio de la Llave,"Veracruz, Valente Díaz",U,-96.22939650000001,19.183953,36818
Un vato que no me cae tan bien entró al grupo donde todxs contestamos como hormigas y ya no me siento en familia. 🥺,Wed Apr 22 08:22:08 +0000 2020,Baja California Sur,"La Paz, Aguajito de Castro",R,-110.8545845,24.107996999999997,0
"Me metieron a un grupo de Facebook en el que todos pretenden ser hormiguitas y vivir en una colonia de hormigas.

E… https://t.co/4bZwHh3YK1",Wed Apr 22 16:02:21 +0000 2020,Puebla,"Xicotepec, Tulancinguillo",R,-97.89590799999999,20.329625999999998,127
Me despierto con hormigas en los brazos,Wed Apr 22 20:45:23 +0000 2020,Morelos,"Cuernavaca, Loma del Tilcuate",R,-99.260819,18.933812,2
@Hormiga74426118 @AnaMercedesDvi1 @MariaJe88580549 @OficialFrenaaa Uta mad... No más esto me faltaba un inche persi… https://t.co/x7LtgL39fb,Wed Apr 22 21:00:27 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
@Hormiga74426118 @AnaMercedesDvi1 @MariaJe88580549 @OficialFrenaaa Primero aprende a escribir y luego comentas derechango 🐒,Wed Apr 22 23:33:10 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
@Hormiga74426118 @AnaMercedesDvi1 @MariaJe88580549 @OficialFrenaaa Solamente te perjudica tus intereses,Thu Apr 23 15:52:24 +0000 2020,Ciudad de México,"Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351
"@warkentin @arturoangel20 @jrisco En @HomeDepot  hay un repelente de hormigas muy bueno (es para jardin, pero si lo… https://t.co/YV2qTYGAr3",Thu Apr 23 16:26:10 +0000 2020,Ciudad de México,"Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351
"@Hormiga74426118 @AnaMercedesDvi1 @MariaJe88580549 @OficialFrenaaa Jajajaja, que ignorante eres, todo esto del crec… https://t.co/qK4uAhAXao",Thu Apr 23 16:35:24 +0000 2020,Ciudad de México,"Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351
"dormir por el estruendo de las hormigas coloradas, Aureliano y Amaranta Ursula eran los únicos seres felices, y los… https://t.co/24vGB1V1IW",Thu Apr 23 17:33:34 +0000 2020,Guanajuato,"León, Rancho de Don Alberto García",R,-101.601401,21.09806,1
@mariel_dguezm @Abo_Gabo La hormigas tienen más proteínas que la carne G U A R D A L A S,Thu Apr 23 23:38:05 +0000 2020,Quintana Roo,"Benito Juárez, Premasa del Caribe",R,-87.0316645,21.048719,0
