Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
@Alesidenew Gracias Rita. Te tomo la palabra y te lo agradezco en nombreee de todos los q usamos anteojos ;-),Wed Apr 01 14:16:49 +0000 2020,Jalisco,Zapopan,R,-103.48477450000001,20.790657000000003,40
Lo veo al revés que necesites anteojos cerebrales resuélvelo,Sun Apr 26 00:51:46 +0000 2020,Ciudad de México,La Magdalena Contreras,U,-99.24800950000001,19.318042,246428
Ya no puedo vivir sin anteojos 🤓,Sun Apr 12 03:42:09 +0000 2020,Quintana Roo,Solidaridad,R,-87.346982,20.5845305,27
Como me hacen falta mis anteojos 😭,Sun Apr 12 08:49:51 +0000 2020,Sinaloa,Sinaloa,R,-108.127217,26.021634,13
Sin anteojos jeje @Isabellascurain @fermeade @maytelascurain https://t.co/F21gtxZWNn,Mon Apr 13 23:09:35 +0000 2020,Nuevo León,Monterrey,U,-100.29359149999999,25.6417185,1142952
"Ni se emocionen que mi vista todavía la tengo de a 20/20, estos anteojos son nomás contra la “blue light”... 👀👓 en… https://t.co/rPL3Pr45CD",Thu Apr 16 23:22:01 +0000 2020,Sonora,Nogales,R,-111.001401,31.192592,2
"No salgan sin #CubreBocas ni anteojos y mucho menos sin careta (Anteojos}

La muerte está a la vuelta de la esquina… https://t.co/rYJJqZ8k3B",Fri Apr 17 03:03:42 +0000 2020,Ciudad de México,Miguel Hidalgo,U,-99.2115105,19.4299345,414470
"Y justo cuando los dabas por perdidos (robados en realidad), reaparecen tus anteojos mas favoritos de la favoracion… https://t.co/j4ua6gTJhV",Fri Apr 17 23:36:47 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
"@Champion69 @Javier_Alatorre @HLGatell ES UNA PURGA MUNDIAL.

DEBEMOS USAR #cubrebocas. Y anteojos #Google 

De lo… https://t.co/kILJ6bJ7kT",Tue Apr 21 07:01:49 +0000 2020,Ciudad de México,Miguel Hidalgo,U,-99.2115105,19.4299345,414470
Vine a la óptica para que me ajustaran mis anteojos ya me quedaban bien flojos lo bueno que llegue a tiempo antes que cerrarán 🤗,Wed Apr 29 23:32:09 +0000 2020,Chiapas,Tuxtla Gutiérrez,U,-93.13965950000001,16.7424355,578830
"@SSalud_mx @GobCDMX @Claudiashein ciudadana con anteojos rotos, necesito ver.opticas cerradas, adonde voy?",Thu Apr 30 15:12:47 +0000 2020,Ciudad de México,La Magdalena Contreras,R,-99.26452649999999,19.2755645,10
"@jnbello @HistoriaPedro Desde los anteojos de premoniciones fatales, unidas a la desestimación de lo que se hace en… https://t.co/af4Crg8j2u",Tue May 05 18:00:34 +0000 2020,Ciudad de México,Azcapotzalco,U,-99.18212600000001,19.4857835,432205
"Óptica Razo Plus, te ofrece este servicio a domicilio de reparación de anteojos a domicilio, envíanos WhatsApp para… https://t.co/EpVhDM8gIp",Fri May 08 16:42:01 +0000 2020,Nuevo León,Monterrey,U,-100.29359149999999,25.6417185,1142952
Esos horribles anteojos sólo se ven bien en gente hermosa.,Wed May 13 04:54:15 +0000 2020,Morelos,Yecapixtla,R,-98.8606355,18.859481000000002,0
"Adulta nivel:
Ya no puedo leer un libro si no es con anteojos 🤓",Thu May 14 04:12:17 +0000 2020,Puebla,Amozoc,R,-98.1542665,19.0322295,616
"Necesito cambiar mis anteojos 👓 de manera urgente y con esta pishi cuarentena nada más no sé para cuando... 

Conti… https://t.co/DQtGpxr4PD",Sun May 24 07:46:51 +0000 2020,México,Tecámac,R,-98.9903395,19.7051795,531
"Buenos días ☀️ #AppleFans  
Los rumores de la intención de agregar un proyecto de anteojos inteligentes, me trae u… https://t.co/b5haYn07KR",Mon May 25 14:40:17 +0000 2020,Veracruz de Ignacio de la Llave,Boca del Río,U,-96.0989905,19.1431005,132011
"Una vez compré unos anteojos ahí que me quedaron mal graduados, por más que rogué, suplique que yo no tenía la culp… https://t.co/FAXmR51jTJ",Thu May 28 04:54:53 +0000 2020,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
"No uso anteojos porque tengo miopía y astigmatismo, nunca atinaban a graduarme adecuadamente, veía el piso hundido,… https://t.co/GsLOwlUxZA",Thu May 28 04:58:13 +0000 2020,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
"La ociosa de los anteojos y me faltan más, jajajaj de vista tengo 8 de sol 30 jajajajaja

#bodypositive… https://t.co/hFpNc4zFsI",Fri May 29 17:17:21 +0000 2020,Ciudad de México,Miguel Hidalgo,U,-99.2115105,19.4299345,414470
"#VIDEO 🎥 | Oso de anteojos visto por primera vez en Reserva Natural - @ProAvesColombia.

El avistamiento ocurrió en… https://t.co/u2I1qBhgFw",Wed Jun 03 20:18:28 +0000 2020,Zacatecas,Villa de Cos,R,-102.5580375,23.6254185,0
Y de verdad necesito todos los lentes y anteojos que usaron en la película 🤩🤩🤩,Fri Jun 12 03:15:59 +0000 2020,Veracruz de Ignacio de la Llave,Alvarado,R,-95.8132295,18.8352255,0
Perdí mis anteojos 🤓 y ya no puedo ver la tv con #SuSanaDistancia (dos metros y medio porque mi cuarto es pequeño)… https://t.co/DjI4elMcDS,Fri Jun 12 03:44:01 +0000 2020,Ciudad de México,Coyoacán,U,-99.15234000000001,19.328383000000002,614447
"@alarcondibujos Seguramente por eso ninguno de los visitantes usa batas, cubre bocas ni anteojos o caretas...
(Será que no hay?)",Sat Jun 20 05:24:05 +0000 2020,México,Atizapán de Zaragoza,R,-99.269192,19.564587500000002,13
"@billyrovzar True story: perdí mis anteojos dos días. Como no podía ver dónde los dejé, pues círculo vicioso. Pero… https://t.co/BnqbhZjJJa",Sat Jun 27 17:50:52 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
Anteojos y la nueva normalidad... 🤓😷 #FelizJueves https://t.co/Mp4RrBnni5,Thu Jul 02 18:37:14 +0000 2020,México,Ecatepec de Morelos,R,-99.0444445,19.56828,615
Para los que necesitamos 🤓 anteojos para leer en @WalmartMexico Gomez Morín están a $41 pesillos en liquidación https://t.co/1sr7Lh6tHO,Thu Jul 02 23:31:59 +0000 2020,Nuevo León,San Pedro Garza García,R,-100.366033,25.650287499999997,2
@MorenaSalazar00 @erykah149 @Piniisima No ojendas ...anteojos como ojos de mosca,Fri Jul 03 19:49:58 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
"@doctormacias No hay nada, mas que usar el cubrebocas, anteojos protectores, lavarse la manos. Hasta donde yo se. O me equivoco?",Sun Jul 05 03:45:53 +0000 2020,Sonora,Hermosillo,R,-111.498181,28.9698625,5
Andrés Manuel ahora que viajó a Washington se compró un par de anteojos de alta tecnología que hacía ver desnudas a… https://t.co/zM7xZLX3DR,Wed Jul 08 21:55:20 +0000 2020,Jalisco,Mascota,R,-105.14858050000001,20.697052499999998,0
"se quita los anteojos, vestidas, que maravilla! Regreso a México, loco por mostrarle los anteojos a su mujer Bety “… https://t.co/P96VHJj2Gk",Wed Jul 08 21:55:20 +0000 2020,Jalisco,Mascota,R,-105.14858050000001,20.697052499999998,0
"desnudos en el sofá . Se quita los anteojos , desnudos, se pone los anteojos, desnudos, se quita los anteojos desnu… https://t.co/ylir1MRJDA",Wed Jul 08 21:55:21 +0000 2020,Jalisco,Mascota,R,-105.14858050000001,20.697052499999998,0
Cáele al 101.3 FM... estoy de promoción y Ópticas Optín te regalan un par de anteojos graduados... sorteo el próxim… https://t.co/zrxBv6wVcu,Tue Jul 14 19:36:20 +0000 2020,Sonora,Empalme,R,-110.72232699999999,27.8836995,1
@hablas_en @AryTovarv Ya no hablemos de anteojos porque tuve que mandar a hacer nuevos anteojos mi astigmatismo en aumento como mi panza,Thu Jul 16 04:42:51 +0000 2020,México,Atizapán de Zaragoza,R,-99.269192,19.564587500000002,13
"Bueno, hablando de otras cosas, ya empecé a usar anteojos que si por la bonita vista cansada 😐",Thu Jul 16 21:38:47 +0000 2020,Nuevo León,Monterrey,U,-100.29359149999999,25.6417185,1142952
Se ve guapo mi padrino con sus anteojos para leer ¿qué no?? https://t.co/UKMTC07HPA,Fri Jul 17 03:49:57 +0000 2020,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
"@Claudia60534228 Usas anteojos o eres ciega de tu cerebro, @Claudia60534228 para decir esta GRAN PENDEJADA????
NO t… https://t.co/wL6erUsGMm",Sun Jul 19 05:29:54 +0000 2020,Ciudad de México,Tlalpan,R,-99.208364,19.199485,86
¿Es porque uso anteojos verdad?,Mon Jul 20 19:39:58 +0000 2020,Michoacán de Ocampo,Zacapu,R,-101.84589650000001,19.8297035,0
@soypayasorisas Yo voy por mis anteojos para verte mejor,Tue Jul 21 23:56:12 +0000 2020,México,Atizapán de Zaragoza,R,-99.269192,19.564587500000002,13
Llegaron mis nuevos anteojos y la verdad los TQM. https://t.co/pXlLYhWUTy,Wed Jul 22 23:39:32 +0000 2020,México,Ecatepec de Morelos,R,-99.09030349999999,19.626005,1043
"""Anteojos niño 10 años"" in #BenitoJuarez #Mexico https://t.co/8bmaZKuTB5 #zerowaste #free",Sat Jul 25 01:19:43 +0000 2020,Ciudad de México,Benito Juárez,U,-99.1614805,19.380613,434153
"""Anteojos de niño"" in #BenitoJuarez #Mexico https://t.co/7jriuB7ZL7 #zerowaste #free",Thu Jul 30 03:30:57 +0000 2020,Ciudad de México,Benito Juárez,U,-99.1614805,19.380613,434153
@LiebIsInDaHouse Esos anteojos no te quedan !,Sun Aug 02 03:17:59 +0000 2020,Ciudad de México,Azcapotzalco,U,-99.18212600000001,19.4857835,432205
"Wip.. Un pequeño proyecto para mi, aunque esta retrasado hasta tener anteojos nuevos en Santa Fe, Distrito Federal,… https://t.co/VDq85sxiyk",Mon Aug 03 20:39:25 +0000 2020,Ciudad de México,La Magdalena Contreras,U,-99.24800950000001,19.318042,246428
"Las demás partes de mi cuerpo al ver que mis orejas cargan la mascarilla, los tapones y los anteojos de seguridad. https://t.co/Kpzj7Gc9Wp",Wed Aug 12 17:04:06 +0000 2020,Querétaro,El Marqués,R,-100.2783405,20.7456405,14
"@ZyanyaArzate He probado todo pero mis anteojos siempre se empañan cuando uso cubrebocas.
Aquí se burlan diciendo q… https://t.co/r6wkEghSo2",Sat Aug 15 02:08:28 +0000 2020,Ciudad de México,Cuajimalpa de Morelos,R,-99.30558049999999,19.318697,728
"La realidad de quienes usamos anteojos 
#anteojos 
#cubrebocas 
#humor en MentalizArte https://t.co/djpB02cMLo",Sat Aug 15 22:22:59 +0000 2020,Ciudad de México,Azcapotzalco,U,-99.18212600000001,19.4857835,432205
"Preocupante quienes siguen mirando a través de los anteojos de “la maestra” #MarthaLamas Grande Sonia. 

https://t.co/ynwUQMonEK",Thu Aug 20 18:04:53 +0000 2020,Ciudad de México,Coyoacán,U,-99.15234000000001,19.328383000000002,614447
"Soñé que me cortaba el cabello yo solo y que me compraba otros anteojos 
La vdd me gustaba cómo me veía con el nuevo look
Jajaja",Tue Aug 25 14:51:23 +0000 2020,Zacatecas,Fresnillo,R,-103.00268350000002,23.226249,0
Nunca he entendido cómo la identidad secreta de Superman y Supergirl son sólo unos anteojos 😂,Fri Aug 28 04:43:33 +0000 2020,Puebla,Amozoc,R,-98.1542665,19.0322295,616
"@Reforma Todas son personas de amlo que necesitan anteojos y salieron de prisa a trabajar, casualmente a todos se l… https://t.co/Uf1Pm6TX9w",Tue Sep 15 17:02:34 +0000 2020,México,Naucalpan de Juárez,R,-99.310428,19.473793999999998,149
Por eso el manejo de anteojos junto con caretas y cubrebocas es indispensable.,Thu Sep 17 03:58:27 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
@doctormacias De ahí la importancia del uso de anteojos para la corrección de ametropias o de seguridad así como de caretas y cubrebocas.,Thu Sep 17 04:00:02 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
@alexvivanco13 Me encanta sus anteojos 🤓,Fri Sep 25 04:07:42 +0000 2020,Michoacán de Ocampo,Morelia,R,-101.27577,19.652724,84
@legendario1988 Es como cuando buscas tus anteojos y los traes en la cabeza! 😂,Wed Sep 30 17:13:25 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
"@warkentin Usa anteojos o careta, además del cubrebocas, sin quitártelos ni un segundo",Sat Oct 03 13:30:24 +0000 2020,Ciudad de México,Coyoacán,U,-99.15234000000001,19.328383000000002,614447
Recuerda elegir el tratamiento adecuado para ti!! #anteojos #opticaadomicilio #optica https://t.co/NRH6P5ZYtk,Sun Oct 04 08:40:43 +0000 2020,México,Tlalnepantla de Baz,U,-99.1642825,19.543933000000003,658907
"Que odiosos aquellos que toman tus anteojos y dicen ""No tienes tanto aumento"" como si mi objetivo fuera querer tene… https://t.co/wVQBo8otq5",Tue Oct 06 16:28:28 +0000 2020,Michoacán de Ocampo,Lázaro Cárdenas,R,-102.45755600000001,18.083858499999998,12
@Bruno_Dagio Es un clásico a los que usamos anteojos 😂😂😂,Wed Oct 07 19:40:38 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
Hoy traje los anteojos de repuesto 🤗 https://t.co/D147Htvhaz,Tue Oct 13 13:37:26 +0000 2020,Chiapas,San Fernando,R,-93.20642749999999,16.912427,8
Weno vamos a llevar los anteojos a la óptica 😐 igual no tiene remedio y hay que comprar nuevos armazones,Tue Oct 13 21:14:21 +0000 2020,Chiapas,San Fernando,R,-93.20642749999999,16.912427,8
"@jorgeberry @mario_dico50 Berry tal ves ya rekieras d anteojos mano, saluds",Tue Oct 13 23:15:01 +0000 2020,Veracruz de Ignacio de la Llave,Medellín de Bravo,R,-96.15278500000001,19.0155025,5
