Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
"Wow! Buena noticia!! Ante incrédulos que siguen pensando que esto se desmorona!
#AMLO",Wed Apr 22 05:34:05 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
@tumbaburross Está viendo cómo se le desmorona el país en sus manos después de luchar 18 años. con las peores tomas… https://t.co/QjAJBW4Ruk,Thu Apr 23 01:31:03 +0000 2020,Ciudad de México,"Iztacalco, Iztacalco",U,-99.09649599999999,19.399101,404695
"Urge, el Pais se esta desmoronando, la salud, la economía,. La inseguridad, todo..  que esperamos ?",Thu Apr 23 18:27:01 +0000 2020,México,"Tecámac, Centro Nacional de Servicios y Diagnóstico en Salud Animal",R,-98.9903395,19.7051795,0
"@latinus_us Ninguna de la Gobernadora de la CDMX
Iniciativa Privada ayudando a la ciudadania
#MorenaDesmoronaAlPais",Thu Apr 23 20:53:11 +0000 2020,Querétaro,"Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97
@ANPNL05 Y siguen desmoronando su imperio... #GreatAwakening  #despertar  #2020,Fri Apr 24 03:28:20 +0000 2020,Jalisco,"Zapopan, Tesistán (San Francisco Tesistán)",U,-103.48477450000001,20.790657000000003,91631
Sad But true... Renaces o te desmoronas...,Sat Apr 25 04:57:09 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
Se me está desmoronando este mazapán llamado vida,Tue Mar 31 06:01:55 +0000 2020,Sonora,"Hermosillo, Vicente Guerrero",R,-111.498181,28.9698625,5
Soy empresaria y me llena de rabia e impotencia ver cómo se está desmoronando nuestro sistema económico gracias a u… https://t.co/Qt6uAgIZAL,Tue Mar 31 17:16:03 +0000 2020,San Luis Potosí,"San Luis Potosí, Jorge Ramos",R,-100.955511,22.3111195,0
Se me está desmoronando este mazapán llamado vida.,Tue Mar 31 21:17:56 +0000 2020,Baja California Sur,"La Paz, Aguajito de Castro",R,-110.8545845,24.107996999999997,0
Soy un mazapán y la vida me está desmoronando.,Tue Mar 31 23:35:43 +0000 2020,Baja California,"San Quintín, El Tablón",R,-115.5798785,30.156488499999995,4
"Pudiste hacer algo al respecto cuando todo se nos empezó a desmoronar, ya es muy tarde",Wed Apr 01 01:19:38 +0000 2020,Sonora,"Caborca, Ninguno [Sergio Reyes]",R,-112.59875650000001,30.901144000000002,3
"Nos estamos desmoronando.
.
Nos estamos desmoronando, cada partícula que nos conforma, desaparece, lo que creíamos… https://t.co/yUuL7nAcIf",Wed Apr 01 17:58:15 +0000 2020,Veracruz de Ignacio de la Llave,"Xalapa, La Troja",R,-96.886083,19.542054,88
@Foro_TV Que no era #NeumoniaAtipica y @zoerobledo que dice ya mando insumos ya pidió dinero al @GobiernoMX el @Tu_IMSS se está desmoronando,Thu Apr 02 02:35:50 +0000 2020,Ciudad de México,"Cuajimalpa de Morelos, Convento del Desierto de los Leones",R,-99.30558049999999,19.318697,0
Con Napoleón se desmoronan imperios. https://t.co/y1dPGm05Rg,Thu Apr 02 18:56:51 +0000 2020,Puebla,"San Andrés Cholula, San Rafael Comac",R,-98.308599,19.022994,287
@AreliPaz De ninguna manera !!!!  Me explico: El país se le está desmoronando entre las manos (cuando menos la econ… https://t.co/KYJXBMCTf6,Fri Apr 03 02:08:00 +0000 2020,Morelos,"Cuernavaca, Loma del Tilcuate",R,-99.260819,18.933812,2
"Se desmorona el Reynado de seniles?????, que bueno, todos los días me tienen preocupada de que no se mueran en plen… https://t.co/meZxk1uYPp",Sun Apr 05 06:49:42 +0000 2020,Morelos,"Xochitepec, Los Estanques",R,-99.2446225,18.7644275,9
@martinmonzalvo6 Jajajaja y si van ganando la ponen  se desmorona todo...,Sun Apr 05 11:24:54 +0000 2020,Sinaloa,"Ahome, El Porvenir",R,-109.1037265,25.921946500000004,841
"Hoy mi mundo se desmorona, el saber que para mi padre soy una idiota me parte el alma en mil cachitos; nunca pensé… https://t.co/fh3RVEk0UP",Sun Apr 05 17:32:40 +0000 2020,México,"Valle de Bravo, Monte Alto",R,-100.1125095,19.1713575,324
"Puedes empezar por ignorarme
Y desmoronar mis ilusiones
Aunque te mudaras a la luna
Te perseguirán mis intenciones",Sun Apr 05 18:04:14 +0000 2020,Guanajuato,"León, Rancho de Don Alberto García",R,-101.601401,21.09806,1
Y sigue con #santalucia #DosBocas y #TrenMaya!! Está viendo que el país se desmorona 🤦🏻‍♂️,Sun Apr 05 22:31:36 +0000 2020,Sinaloa,"Culiacán, Santa Lucía",R,-107.3420565,24.6624885,0
"@bereaguilarv Eso mismo me pregunto yo , no dijo nada todo sigue igual y el pais desmoronandose",Sun Apr 05 23:11:09 +0000 2020,Jalisco,"Zapopan, Tesistán (San Francisco Tesistán)",U,-103.48477450000001,20.790657000000003,91631
El @ForodeSaoPaulo se desmorona con la intervención de EUA a Venezuela. Acabando con ese narco estado hay que limpi… https://t.co/v6ZwBxWchi,Mon Apr 06 00:57:20 +0000 2020,Coahuila de Zaragoza,"Viesca, El Alto del Palomillo",R,-103.23313,25.244222999999998,0
"@brozoxmiswebs Primero son mis ocurrencias, después mis ocurrencias y al final mis ocurrencias, aunque la salud se siga desmoronando.",Mon Apr 06 01:30:39 +0000 2020,Jalisco,"Guadalajara, Guadalajara",U,-103.335882,20.676651999999997,1385621
"“Hoy en el drama de la pandemia, ante tantas certezas que se desmoronan, frente a tantas expectativas traicionadas,… https://t.co/zPiJ8BYcaC",Mon Apr 06 02:33:42 +0000 2020,Tamaulipas,"Valle Hermoso, Urbano de la Rosa (Juan Sánchez Hernández)",R,-97.85997549999999,25.7817945,0
| El tercero lo define la palabra: Gracia|• Es lo que a la vida le da el toque para no desmoronarse. #moderlove,Mon Apr 06 06:08:38 +0000 2020,Puebla,"Puebla, Fundadores del Ejido Colonia Chapultepec",R,-98.1542665,19.0322295,550
@MauriceCollier Así es...este país se está desmoronando...los que no tenemos trabajo fijo estamos fritos...a echarl… https://t.co/0LJkK40wZh,Mon Apr 06 07:18:26 +0000 2020,Coahuila de Zaragoza,"Viesca, El Alto del Palomillo",R,-103.23313,25.244222999999998,0
