Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
@ppfabregat Todo está en línea... curva...😂 *se sacude la boronas de la pijama de vochitos*,Fri Apr 24 16:37:34 +0000 2020,"San Luis Potosí, México",-101.169792,21.959357,-101.169792,22.662882,-100.74123,22.662882,-100.74123,21.959357
"No se si estoy loco o qué pero me estresan muchísimo las boronas que caen de las galletas o de la comida, no puedo con la vida",Thu May 21 16:00:13 +0000 2020,"Monterrey, Nuevo León",-100.421037,25.480538,-100.421037,25.802899,-100.166146,25.802899,-100.166146,25.480538
"@CrashTestBobby Estos no se esparcieron y me la dieron en bolsa de papel, toda ahora llena de boronas de brownies.",Thu Jun 04 19:56:10 +0000 2020,"Xalapa, Veracruz de Ignacio de la Llave",-96.971524,19.48425,-96.971524,19.599858,-96.800642,19.599858,-96.800642,19.48425
@JuanTatachun @gavinci7 @4EverSugus @GustavoVela71 A huevo. Hasta 2 veces!!! Se saca las boronas del higiénico....,Fri Jun 19 16:04:39 +0000 2020,"Querétaro, Querétaro Arteaga",-100.596343,20.50317,-100.596343,20.927379,-100.284846,20.927379,-100.284846,20.50317
"Consigue alpiste o boronas de un pan 🥖, riégalo en el suelo y espera a que la magia suceda. No olvides limpiar ante… https://t.co/NG13h3KiTx",Thu Jun 25 20:55:05 +0000 2020,"Puebla, México",-98.289206,18.83765,-98.289206,19.226809,-98.019327,19.226809,-98.019327,18.83765
@drlangosta A buscar y guglear pendejdas y después hacer encaboronar sobre todo al #comandopsycho @DrKing_s… https://t.co/8C7lf6v5JX,Sun Dec 13 04:25:45 +0000 2020,Centro Médico Nacional Siglo XXI,-99.154191,19.407822,-99.154191,19.407822,-99.154191,19.407822,-99.154191,19.407822
Con que facilidad se puede desboronar tanto,Mon Dec 28 04:19:33 +0000 2020,"Los Reyes, Michoacán de Ocampo",-102.591773,19.511908,-102.591773,19.814845,-102.258449,19.814845,-102.258449,19.511908
@monicallmayorga Lady Boronas estoy muy enojado contigo.,Wed Dec 30 23:52:41 +0000 2020,"Aguascalientes, México",-102.588385,21.622938,-102.588385,22.07598,-102.066029,22.07598,-102.066029,21.622938
@nflmx @BuffaloBills Este resultado es lo que te hizo encaboronar compadre @DrKing_s ??!😷😳🙄😱🙏🏼,Sun Jan 17 04:55:53 +0000 2021,Centro Médico Nacional Siglo XXI,-99.154191,19.407822,-99.154191,19.407822,-99.154191,19.407822,-99.154191,19.407822
"Cuando te tocan las boronas en Morelia, Mexico https://t.co/73dFwb4RzO",Thu Mar 04 05:00:47 +0000 2021,"Morelia, Michoacán de Ocampo",-101.508271,19.442976,-101.508271,19.862472,-101.043269,19.862472,-101.043269,19.442976
"#LenguajeIncluyente

Con el título tenemos.
Ojalá llegue fácil a México @danaeboronat 😃",Wed Mar 31 16:01:27 +0000 2021,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
@catpow3r yo de plano lo que hago es que les dejo boronas o croquetas pisadas pero en la mera entrada de la casa po… https://t.co/pMJfOuSHOs,Fri Apr 16 19:03:54 +0000 2021,"Texcoco, México",-98.940638,19.375099,-98.940638,19.561992,-98.634232,19.561992,-98.634232,19.375099
@pajarockstar Pero es q así le digo.. Ay bueno boronas jajaa,Sat Jun 26 20:45:18 +0000 2021,"Acapulco de Juárez, Guerrero",-99.995232,16.684013,-99.995232,17.233886,-99.476067,17.233886,-99.476067,16.684013
@vuInetish Kamila recibe un beso desde Manzanillo las brisas con todo mi corazón atte Javier Navarro Boronat https://t.co/45jUlwtZ9d,Thu Jul 22 11:02:40 +0000 2021,"Manzanillo, Colima",-104.691992,18.94497,-104.691992,19.312106,-104.034768,19.312106,-104.034768,18.94497
@graciouslygomez Parati Selena Gómez te quiero mucho 😘🙏🙏😙🙏 atte Javier Navarro Boronat desde Manzanillo las brisas… https://t.co/ngeolZMAsD,Tue Jul 27 16:29:07 +0000 2021,"Manzanillo, Colima",-104.691992,18.94497,-104.691992,19.312106,-104.034768,19.312106,-104.034768,18.94497
Para ti Dios te bendiga siempre felicidades atte Javier Navarro Boronat desde Manzanillo las brisas con todo mi cor… https://t.co/yLBvKFI4x4,Sun Aug 08 20:16:10 +0000 2021,"Manzanillo, Colima",-104.691992,18.94497,-104.691992,19.312106,-104.034768,19.312106,-104.034768,18.94497
"@bonitafeliz100 Jajajaja la Neolengua de 1984...

Pongamos entonces ALJIBER...de aljibe

O boronas de pedazos de pan...",Fri Sep 03 17:00:25 +0000 2021,"Uruapan, Michoacán de Ocampo",-102.400296,19.254785,-102.400296,19.623719,-101.934831,19.623719,-101.934831,19.254785
"Está chido como para comerte un pancito en la cama, y que todas las perras boronas queden a la vista y se vea sucio… https://t.co/GAExKfOMKh",Mon Sep 06 22:37:01 +0000 2021,"Veracruz, Veracruz de Ignacio de la Llave",-96.340535,19.102814,-96.340535,19.265092,-96.118258,19.265092,-96.118258,19.102814
"@alejilloTol Yo un vocol/bocol relleno de boronas de chicharrón, bañado con salsa de molcajete... 😋",Thu Sep 16 12:43:31 +0000 2021,"Juárez, Chihuahua",-106.950638,31.120681,-106.950638,31.783867,-106.185378,31.783867,-106.185378,31.120681
Boronas ☝🏼🙂,Thu Oct 28 00:11:04 +0000 2021,"Gustavo A. Madero, Distrito Federal",-99.180678,19.444937,-99.180678,19.592375,-99.051103,19.592375,-99.051103,19.444937
"@MarianaOo @mauriosaur Yo igual le.digo xix, boronas o como sea no le.he escuchado ni en Campeche, ni en Quintana Roo y menos en Yucatán.",Thu Oct 28 13:37:14 +0000 2021,"Mérida, Yucatán",-89.798197,20.695104,-89.798197,21.186966,-89.449025,21.186966,-89.449025,20.695104
Me gusta el pan chopeado pero no me gusta beber mi café con boronas 🤦‍♀️😪,Sun Oct 31 15:31:24 +0000 2021,"Xalapa, Veracruz de Ignacio de la Llave",-96.971524,19.48425,-96.971524,19.599858,-96.800642,19.599858,-96.800642,19.48425
@ginarqmx Boronas por acá,Thu Nov 11 21:41:52 +0000 2021,"Ciudad Madero, Tamaulipas",-97.86013,22.237664,-97.86013,22.328388,-97.784943,22.328388,-97.784943,22.237664
@irmoralesl Desboronar *,Wed Nov 24 01:51:11 +0000 2021,"San Andrés Cholula, Puebla",-98.363779,18.980181,-98.363779,19.065807,-98.253419,19.065807,-98.253419,18.980181
¿Cómo le hacen para comerse un volovan y no llenarse hasta el cabello de boronas ?,Thu Nov 25 17:08:03 +0000 2021,"Veracruz, Veracruz de Ignacio de la Llave",-96.340535,19.102814,-96.340535,19.265092,-96.118258,19.265092,-96.118258,19.102814
