Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
@amarilloalarcon @FiscaliaCDMX @davosv2004 @qeqa34 @jaj_formula Hahahaha JajajaJajajaja está poseído ese escusado!!! JajajaJajajaja que ASCO,Wed Apr 22 05:59:20 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
@yeidckol Lo que queremos es cambiar a usted y todos sus mojones #TeamCacas  al escusado junto con… https://t.co/af1zOm9kdc,Sat Apr 25 03:41:48 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
"Este cabron merece el premio nobel de la paz, imagínate un modelo así en el escusado de su casa 💩😷🤕😆💩😷🤕😆",Sun Apr 05 13:51:31 +0000 2020,"Acapulco de Juárez, Guerrero",-99.995232,16.684013,-99.995232,17.233886,-99.476067,17.233886,-99.476067,16.684013
@qaiidy Ni modo amiga a mi también ya me tocó hacerlo el escusado a lavarlo.,Wed Apr 08 16:45:08 +0000 2020,"Ocampo, Tamaulipas",-99.566238,22.592171,-99.566238,23.101532,-99.092352,23.101532,-99.092352,22.592171
El departamento de quejas de Telmex tomó la labor de los ahora inactivos escusados del Sirloin Stockade,Thu Apr 09 16:44:28 +0000 2020,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
@gtdca98 @danimartley @Paquito15793396 @la_grenitas El del escusado,Sun Apr 12 22:29:25 +0000 2020,"Mainero, Tamaulipas",-99.724088,24.434549,-99.724088,24.737869,-99.40301,24.737869,-99.40301,24.434549
En mi intercambio alguien despego el escusado de mi depa,Mon Apr 13 03:08:58 +0000 2020,"Ensenada, Baja California",-118.403857,27.998889,-118.403857,32.314088,-112.7559,32.314088,-112.7559,27.998889
"Lo siento escusado, yo se que estos días han sido pesados para ti.",Mon Apr 13 07:57:08 +0000 2020,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
@Vivelavidalohan @Jessicavzqz1 @MarioBecBe @mariaoyanguren @SamanthaBeso @elcarry_ON 😂 así le pasó en el escusado,Sun Apr 19 04:52:17 +0000 2020,"León, Guanajuato",-101.833743,20.863352,-101.833743,21.332768,-101.369059,21.332768,-101.369059,20.863352
Neta que si la mariana rdz va y se lava las greñas con el agua del escusado van y hacen lo mismo,Tue Apr 21 04:35:04 +0000 2020,"Guadalajara, Jalisco",-103.408633,20.600585,-103.408633,20.752719,-103.263131,20.752719,-103.263131,20.600585
@PodemosPueblo Cuando le bajo al escusado,Thu Apr 30 23:45:33 +0000 2020,"Cuernavaca, Morelos",-99.341179,18.842003,-99.341179,19.025621,-99.180459,19.025621,-99.180459,18.842003
Qué se hace cuando la tapa del pinol se te va x el escusado? 🤔 😱 🤣#seanserios,Fri May 01 13:39:00 +0000 2020,"Miguel Hidalgo, Distrito Federal",-99.259495,19.386371,-99.259495,19.473498,-99.163526,19.473498,-99.163526,19.386371
@GlodeJo07 Gloria ese es el estilo del cacas no sabe reconocer que está mal todo lo que dice se va al escusado a ve… https://t.co/xNzXtNSyQm,Mon May 04 13:58:45 +0000 2020,"Oaxaca de Juárez, Oaxaca",-96.780697,17.015437,-96.780697,17.165201,-96.669308,17.165201,-96.669308,17.015437
@qtf como se te ocurre decir al aire que no se escucha bien y que parece que están en un escusado... .. Nefasto tu comentario...,Mon May 04 16:23:43 +0000 2020,"Tlaquepaque, Jalisco",-103.453231,20.539641,-103.453231,20.644625,-103.243417,20.644625,-103.243417,20.539641
Vivo temerosa de que me salga una rata del escusado 🚽😭 https://t.co/J4VEiQ3jt3,Tue May 05 18:57:24 +0000 2020,"Álvaro Obregón, Distrito Federal",-99.324375,19.232228,-99.324375,19.403856,-99.171644,19.403856,-99.171644,19.232228
"Ríanse, se me cayo el celular al escusado por evitar que Santiago aventara un juguete al mismo... cayeron los dos 😭😭😭",Fri May 08 01:16:12 +0000 2020,"Xalapa, Veracruz de Ignacio de la Llave",-96.971524,19.48425,-96.971524,19.599858,-96.800642,19.599858,-96.800642,19.48425
"@erendiraeggs Me pasa, pero después que estoy sentado en el escusado me da mucha pereza pararme.",Sun May 10 04:27:01 +0000 2020,"Querétaro, Querétaro Arteaga",-100.596343,20.50317,-100.596343,20.927379,-100.284846,20.927379,-100.284846,20.50317
"¡Ahora pon la otra mejilla!
¡Entra al escusado y jala la cadena!!
¡Así de estupida has sido!
¡Pobre de tu padre enl… https://t.co/p8yBoqItCE",Wed May 13 07:16:12 +0000 2020,"Álvaro Obregón, Distrito Federal",-99.324375,19.232228,-99.324375,19.403856,-99.171644,19.403856,-99.171644,19.232228
"@ChairoMexicano @CarlosLoret @DDMexico Niño ITAM ,lo de la tina del escusado es la neta .",Thu May 14 05:11:22 +0000 2020,"Miguel Hidalgo, Distrito Federal",-99.259495,19.386371,-99.259495,19.473498,-99.163526,19.473498,-99.163526,19.386371
"@CarlosLoret @SSalud_mx loretito , lord montajes , ternurita ya estás en el escusado !!!!",Thu May 14 13:08:01 +0000 2020,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
"@lordvoivodul Si no te dio uno a ti aquella vez que le dejaste 6 kilos de mierda en el escusado al Edu, todo va a estar bien guey!!",Mon May 18 18:01:46 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
"@Urieltheone se supone que está diseñado para tirarse por el escusado 🧐
ahí lo echo...",Fri May 22 23:07:54 +0000 2020,"Tijuana, Baja California",-117.298421,32.098292,-117.298421,32.567461,-116.559783,32.567461,-116.559783,32.098292
el escusado en casa del @ElBujandon,Sun May 24 06:48:55 +0000 2020,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
"@Javiersilencia1 @yelco0110 @liatrueba Además.... jajaja en ningún escusado se podría, al menos que midas 3 m de alto.",Thu May 28 07:28:10 +0000 2020,"Monterrey, Nuevo León",-100.421037,25.480538,-100.421037,25.802899,-100.166146,25.802899,-100.166146,25.480538
"Ahora al Palacio Nacional se le conoce como “El Escusado Tapado”, porque la pinchi caca nomás no se quiere ir.
#CacasYaVete",Sat May 30 06:20:05 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
"@Hgp71 @irlandamaya @fergurrola @lopezobrador_ Ok, entonces ya no le jale al escusado de su baño a partir de este m… https://t.co/DjihR9JaCe",Tue Jun 02 00:42:55 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
"Vivimos en la prehistoria solo con internet y escusados 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️

https://t.co/845Q8LnQyy",Wed Jun 03 20:23:11 +0000 2020,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
"@FilipoOcadiz @DanteDelgado Si ,en mi escusado.ji Ji.",Fri Jun 05 05:39:21 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
@DannSandia En el escusado siempre y cuando sea una cantidad moderada. 👍🏼,Tue Jun 09 01:34:04 +0000 2020,"Celaya, Guanajuato",-100.913535,20.356869,-100.913535,20.688514,-100.630887,20.688514,-100.630887,20.356869
@GusMenFox @MazatlanFC Excelente técnico para que todo se vea vaya por el escusado 😂🤮,Thu Jun 11 18:45:30 +0000 2020,"Morelia, Michoacán de Ocampo",-101.508271,19.442976,-101.508271,19.862472,-101.043269,19.862472,-101.043269,19.442976
@GusMenFox @MazatlanFC xcelente técnico para que todo se les vaya por el escusado 😂🤮,Thu Jun 11 18:46:20 +0000 2020,"Morelia, Michoacán de Ocampo",-101.508271,19.442976,-101.508271,19.862472,-101.043269,19.862472,-101.043269,19.442976
@GusMenFox @MazatlanFC Excelente técnico para que todo se les vaya por el escusado 😂🤮,Thu Jun 11 18:46:46 +0000 2020,"Morelia, Michoacán de Ocampo",-101.508271,19.442976,-101.508271,19.862472,-101.043269,19.862472,-101.043269,19.442976
@SofiaRiveraT Sofia Rivera Escusado Para Todos Los Ministerios Publicos Federales Dependientes De La Fiscalia Gener… https://t.co/suXUM5d7b6,Fri Jun 12 06:29:26 +0000 2020,"Ciudad Renacimiento, Acapulco de Juárez",-99.834732,16.882407,-99.834732,16.905926,-99.810268,16.905926,-99.810268,16.882407
@antoniov_garcia @MazatlanFC Ve ese escusado todo lleno de mierda,Fri Jun 12 19:50:02 +0000 2020,"Mazatlán, Sinaloa",-106.619116,23.068553,-106.619116,23.867727,-105.924379,23.867727,-105.924379,23.068553
"@FidelAndradeVa1 @ilmatteou @MazatlanFC Pero parece escusado, y no veo lo malo de construir recintos deportivos con… https://t.co/ELs2OyGQd9",Fri Jun 12 20:11:30 +0000 2020,"Mazatlán, Sinaloa",-106.619116,23.068553,-106.619116,23.867727,-105.924379,23.867727,-105.924379,23.068553
@Lanudo_COVIDIO Esto lo grabó en el escusado mientras se cagaba,Sat Jun 13 20:30:55 +0000 2020,"Tijuana, Baja California",-117.298421,32.098292,-117.298421,32.567461,-116.559783,32.567461,-116.559783,32.098292
"#FueraAMLO y su espantosa, ilusa y francamente para echarla al escusado su mediocre aviso de como cuidarse del… https://t.co/cBe4mb95Zp",Sun Jun 14 19:29:36 +0000 2020,"Miguel Hidalgo, Distrito Federal",-99.259495,19.386371,-99.259495,19.473498,-99.163526,19.473498,-99.163526,19.386371
Mi celular cayó al escusado (limpio) y volvió a la vida a los 15 minutos. Is this diosito viéndome a los ojos?,Wed Jun 17 05:27:44 +0000 2020,"Tlalnepantla de Baz, México",-99.248181,19.498594,-99.248181,19.589272,-99.080384,19.589272,-99.080384,19.498594
"¿Wey qué pedo?
Aviento un súper chorro contra la caca pegada del escusado y no se va...
Neta coman más fibra, porfa 🤯",Sun Jun 21 03:52:47 +0000 2020,"Aguascalientes, México",-102.588385,21.622938,-102.588385,22.07598,-102.066029,22.07598,-102.066029,21.622938
"@DRLOVEMX 😱😱😱

Se te está llendo la vida por el escusado. 🤣",Mon Jun 22 12:10:41 +0000 2020,"Tlalnepantla de Baz, México",-99.248181,19.498594,-99.248181,19.589272,-99.080384,19.589272,-99.080384,19.498594
@MomoSosa @FelipeCalderon @FelipeCalderon es el escusado y sus trolls son la mierda,Tue Jun 23 03:17:18 +0000 2020,"San Cristóbal de las Casas, Chiapas",-92.724496,16.539194,-92.724496,16.786895,-92.344326,16.786895,-92.344326,16.539194
Cuando ya wakareaste pero solo estas postrado en el escusado pensando cuando llegara tu muerte,Thu Jun 25 00:22:32 +0000 2020,"Tlaquepaque, Jalisco",-103.453231,20.539641,-103.453231,20.644625,-103.243417,20.644625,-103.243417,20.539641
"@FranciscoFlora3 La bahía de Acapulco es el escusado más grande del mundo, que mal 😬",Fri Jun 26 05:21:20 +0000 2020,"Álvaro Obregón, Distrito Federal",-99.324375,19.232228,-99.324375,19.403856,-99.171644,19.403856,-99.171644,19.232228
"@JGutierrezCasas Terrible, La bahía de Acapulco es el escusado más grande de Mexico 🤢",Fri Jun 26 11:34:48 +0000 2020,"Álvaro Obregón, Distrito Federal",-99.324375,19.232228,-99.324375,19.403856,-99.171644,19.403856,-99.171644,19.232228
@Rack209ED @ChumelTorres Ps esq tmb tu para q te pones de escusado.... O bueno no sabía que hay a quien le gusten esas cosas,Sat Jun 27 21:39:24 +0000 2020,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
"Como cuando el escusado está tapado y a 🥚 le jalas a la palanca una y otra vez.
#Cackerman",Sun Jun 28 00:49:33 +0000 2020,"Lerdo, Durango",-103.978983,25.174974,-103.978983,25.767788,-103.336703,25.767788,-103.336703,25.174974
"Hoy me puse a pensar que el microondas de la oficina seguramente ha de pensar que nos morimos.

#FilosofíaDelEscusado",Mon Jun 29 18:34:00 +0000 2020,"Iztapalapa, Distrito Federal",-99.140238,19.284692,-99.140238,19.400885,-98.960684,19.400885,-98.960684,19.284692
@almtaps Wey tape el baño de mi depa por tirar vidrios al escusado de un foco que se me rompió REAL,Tue Jun 30 14:46:40 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
