Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
"Ya tuve que poner las laminitas raid, ya empezó mi guerra contra los mosquitos",Tue Apr 21 23:57:21 +0000 2020,Nuevo León,"Monterrey, Monterrey",U,-100.29359149999999,25.6417185,1142952
"¿Hay algo peor que los mosquitos en la noche? Seguimos transmitiendo desde casa, hoy a las 9:30 pm por… https://t.co/R8klu04QAv",Wed Apr 22 00:11:38 +0000 2020,Ciudad de México,"Miguel Hidalgo, Miguel Hidalgo",U,-99.2115105,19.4299345,414470
"carajo..deberia haber hecho el video en camara lenta.atrapé un mosquito al estilo de el maestro de ""karate kid""(la… https://t.co/Lb4EfRJ70b",Wed Apr 22 00:16:41 +0000 2020,Sinaloa,"Mazatlán, Telcoyonqui",R,-106.2717475,23.46814,53
"Tenemos que lidiar con:

Mosquito
Calor
CFE
Pandemia
Personas Mulas
Desempleo y problemas en economía 
Escasez de i… https://t.co/su8wbsM1N2",Wed Apr 22 01:08:34 +0000 2020,Tabasco,"Centro, Medellín y Pigua 1ra. Sección",R,-92.9164995,18.0219595,352
@yeralramirezb 🤔 Aun asi... Mosquitos.. :(,Wed Apr 22 01:10:15 +0000 2020,Puebla,"Xicotepec, Tulancinguillo",R,-97.89590799999999,20.329625999999998,127
"Mientras tuiteros con postura política derechista celebran su HT de alcance global, los mosquitos  están bravos y e… https://t.co/t4pqOZuj2w",Wed Apr 22 03:31:32 +0000 2020,México,"Nezahualcóyotl, Nezahualcóyotl Segundo [Relleno Sanitario]",R,-99.01701650000001,19.432722,23
En mi propio cuarto  me tuve que poner repelente de mosquitos😠😔,Wed Apr 22 04:21:30 +0000 2020,Querétaro,"Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97
"A veces no entiendo el por qué de las cosas, por ejemplo ¿Por que vergas existen los mosquitos?",Wed Apr 22 06:58:30 +0000 2020,Tabasco,"Comalcalco, Tupilquillo",R,-93.341606,18.291262,760
No puedo dormir... Hay un mosquito muy veloz en mi habitación y muy ruidos para variar 🙄😒,Wed Apr 22 07:44:33 +0000 2020,Querétaro,"Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97
Me estoy ahogando en insecticida y el pinchi mosquito sigue zumbadole 😑😑,Wed Apr 22 08:21:21 +0000 2020,Sonora,"Hermosillo, Vicente Guerrero",R,-111.498181,28.9698625,5
Neta por culpa de un puto perro mosquito estoy madrugando? 🤬,Wed Apr 22 09:38:36 +0000 2020,Guanajuato,"León, Rancho de Don Alberto García",R,-101.601401,21.09806,1
"¡Pues me dió insomnio! Lo bueno es que logré matar al mosquito, la mala es que cuando volví a intentar dormir descu… https://t.co/3EaQpM9EPv",Wed Apr 22 09:50:33 +0000 2020,Querétaro,"Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97
Me #caga cuando se mete un mosquito a tu cuarto por la noche . 🤬,Wed Apr 22 09:52:54 +0000 2020,Sonora,"Hermosillo, Vicente Guerrero",R,-111.498181,28.9698625,5
Estos mosquitos selváticos son gemelos de las pirañas. QUÉ HORROR.,Thu Apr 23 01:19:56 +0000 2020,Veracruz de Ignacio de la Llave,"Poza Rica de Hidalgo, Poza Rica de Hidalgo",U,-97.44749449999999,20.536509000000002,180057
LOS MOSQUITOS 🦟  NO DEBERÍAN EXISTIR‼️😡😭,Thu Apr 23 01:40:21 +0000 2020,Tamaulipas,"Tampico, La Isleta Río Tamesí (Cruz Chica)",R,-97.91677200000001,22.270295,19
Estoy hasta la puta madre de los mosquitos aiura!!!,Thu Apr 23 03:30:20 +0000 2020,Hidalgo,"Tulancingo de Bravo, La Presa de Santa Ana",R,-98.3604,20.130287,60
"Estoy tan harta de los mosquitos que estoy a punto de dejar que me piquen alv.
Pofabor, que no me de Zika o Dengue… https://t.co/OFo99Sawqy",Thu Apr 23 03:43:45 +0000 2020,Guerrero,"Arcelia, Las Piñas",R,-100.197438,18.2523055,67
