Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
Neta que después de un mal día lo último que quiero es escuchar son pinches moyotes en mi cuartooooooo 😭,Sun Apr 26 05:39:18 +0000 2020,Durango,Poanas,R,-104.026331,24.0340355,1902
@Moyotec @AscensoBBVAMX @andres_bravo177 @aviles_mgl @TorosCelayaCD @pitys21 @sergiovergara_7 @ElDxc @TorosDeMiVida… https://t.co/kLq28LNuot,Wed Apr 15 00:16:26 +0000 2020,Guanajuato,Celaya,R,-100.772211,20.5226915,9
@Moyotec @AscensoBBVAMX @andres_bravo177 @aviles_mgl @TorosCelayaCD @pitys21 @sergiovergara_7 @ElDxc @TorosDeMiVida… https://t.co/DNcIatfdpv,Wed Apr 15 00:20:23 +0000 2020,Guanajuato,Celaya,R,-100.772211,20.5226915,9
"@Moyotec @jorge71ferro @martinolimx No me la sabia, saludos desde Yucatán",Wed May 06 15:01:27 +0000 2020,Yucatán,Progreso,U,-89.6748995,21.22812,7361
"@jesscanaya 😝
Moyotes = Mosquitos = Zancudos
Chingar la borrega =  Molestar",Tue Jun 02 06:11:15 +0000 2020,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
Odio a los moyotes y mas cuando no te dejan dormir,Mon Jun 08 07:03:48 +0000 2020,Durango,Lerdo,R,-103.657843,25.471381,0
"@arr1910 Jajajaja de acuerdo, pero acá en chihuahua les desimos moyotes y si, son el mismísimo demonio",Tue Jun 09 02:37:13 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
"@espinosacesar Casi! No era exactamente lo que pensaba, en Morelos le dicen moyotes a lo que en la CdMx le decimos… https://t.co/0lTxwkyUK5",Mon Jun 22 00:27:55 +0000 2020,Ciudad de México,Tlalpan,R,-99.208364,19.199485,86
¿Soy yo o los moyotes de la CDMX este año vienen en modalidad turbo vampírica? 🩸,Tue Jun 23 01:23:27 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
Malditos moyotes me tienes hasta la verga,Thu Jun 25 21:07:07 +0000 2020,Chihuahua,Delicias,R,-105.514547,28.121992999999996,3
"#losmayates y #losmoyotes en Mexico City, Mexico https://t.co/AYy5WyzM00",Fri Jun 26 22:14:40 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
Pinches moyotes me tienen hasta la vrga no sé para qué existen 🤬,Sat Jul 04 05:19:55 +0000 2020,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
Moyotes definitivamente.,Fri Jul 17 06:27:38 +0000 2020,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
@ConC_DeCasa Malditos moyotes los odio! Compra raid laminitas y santo remedio,Mon Jul 20 15:35:05 +0000 2020,Ciudad de México,Cuauhtémoc,U,-99.153366,19.432836,545884
"@FridaLicon01 Que chidoooo estar donde te pase eso, a mi me picaron moyotes y vi una cucaracha",Thu Jul 23 21:13:26 +0000 2020,Chihuahua,Delicias,R,-105.514547,28.121992999999996,3
@xoxo_damarys1 We call them moyotes here 😂,Thu Jul 30 05:07:39 +0000 2020,Chihuahua,Santa Isabel,R,-106.37240600000001,28.306099,252
"@Helena_Bau @JigglyEmperrada Justo ésos. En mi rancho, le decimos moyotes a los zancudos 😜",Thu Jul 30 17:36:27 +0000 2020,Durango,Durango,R,-104.83757800000001,23.954162500000002,0
Tengo toda la tarde matando moyotes por que al parecer el raid no sirve en mi casa ni el repelente en mi cuerpo 😫😡,Wed Aug 05 03:11:55 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
Los moyotes son lo peorrrrr del calor🤦🏻‍♀️,Fri Aug 07 05:45:19 +0000 2020,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
Neta me voy a arrancar los pieceses putos moyotes de mierda los odio QUIEN LOA INVITO A EXISTIR?,Mon Aug 17 19:14:24 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
"Dejen ustedes la lluvia, los pinches moyotes ❤️✨",Tue Sep 01 05:57:04 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
Harta de los piquetes de moyotes en los dedos 😓😓,Sat Sep 05 22:12:10 +0000 2020,Chihuahua,Cuauhtémoc,R,-106.90850850000001,28.7677765,5
"Hoy me pongo vestido.

*A 234,567,321 moyotes les gustó esto*.",Mon Sep 21 01:34:05 +0000 2020,Durango,Santiago Papasquiaro,R,-105.82011,25.007527500000002,25
No me había dado cuenta que traigo 8000 piquetes de moyotes https://t.co/ckrB01s7aL,Wed Sep 30 04:19:48 +0000 2020,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
En mi casa tengo como un millón 300 mil moyotes probablemente amanezca sin sangre 🩸!,Tue Oct 13 03:47:56 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
Puse un raidolito para los moyotes y todo huele a humo/quemado ... hasta las sábanas jajaja,Wed Oct 14 02:04:55 +0000 2020,Ciudad de México,Miguel Hidalgo,U,-99.2115105,19.4299345,414470
pinche moyotes alv,Thu Oct 15 00:28:26 +0000 2020,Durango,Santiago Papasquiaro,R,-105.82011,25.007527500000002,25
En chih les decimos moyotes 👀,Fri Oct 23 01:05:15 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
@ElSrdelasCheves Acá les decimos moyotes jajajaja,Sun Oct 25 22:59:01 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
@ariel910621 @dthernandezpat @TapatioCD @TorosCelayaCD @VidaToro @codice14 @Moyotec @Alexisfut_07 @warsie75… https://t.co/rwqgeY7HDr,Tue Nov 03 22:43:48 +0000 2020,Guanajuato,Celaya,R,-100.772211,20.5226915,9
"Muy ruda y la chingada, pero ya le tengo mucho miedo a los moyotes :(",Fri Nov 13 15:04:12 +0000 2020,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
Te voy a encontrar trae pinche moyotes que quedas con este frío reaguardandote en mi casa. Te No trate y te mataré https://t.co/wroEqAEv24,Fri Nov 13 20:51:37 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
"@el_karadepapa Hdspm!!!! Me estás perdiendo @OmarGarfio !!! 
Los moyotes es una palabra normal que debes de aprender !!!",Fri Dec 11 00:20:11 +0000 2020,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
@VidaToro @EstadioMAV @TorosCelayaCD @TMFCoficial @MoncadaMRicardo @Moyotec @ariel910621 @GaboAnd17 @aviles_mgl… https://t.co/CWsXpSjsOU,Sun Dec 13 03:21:10 +0000 2020,Guanajuato,Celaya,R,-100.772211,20.5226915,9
"Estos días que no estará mi novio los moyotes dándose el festín, bueno al menos algo me pica.. 🤭 #miercolesdeescote https://t.co/OSxYoRSnfd",Wed Dec 16 13:34:02 +0000 2020,Jalisco,Zapopan,R,-103.48477450000001,20.790657000000003,40
Aquí se dice 2 Moyotes @salmitadlsuerte,Wed Feb 03 21:32:23 +0000 2021,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
@Moyotec así es amigo... ¡saludos!,Tue Mar 09 17:22:56 +0000 2021,Guanajuato,Celaya,R,-100.772211,20.5226915,9
pinches moyotes como caen mal,Fri Jun 11 04:38:57 +0000 2021,Durango,Durango,R,-104.83757800000001,23.954162500000002,0
Pishis moyotes nomas me estan picandOoOOoo,Thu Jul 01 01:47:29 +0000 2021,Durango,Lerdo,R,-103.657843,25.471381,0
Malditos moyotes 🤬,Thu Jul 01 05:15:06 +0000 2021,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
Me surran en la madre los pinchis moyotes / moscos / zancudos.,Mon Jul 12 02:20:41 +0000 2021,Nayarit,Tepic,R,-104.8725575,21.626666,654
@yosoyuntipazo En mi casa apenas empezaron los moyotes y ya me traen jodido.,Tue Jul 20 18:46:56 +0000 2021,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
pinches moyotes están perros los weyes,Thu Jul 22 04:02:19 +0000 2021,Durango,Durango,R,-104.83757800000001,23.954162500000002,0
Pinches moyotes no dejan estar a gusto 😩,Fri Jul 23 04:51:24 +0000 2021,Durango,Durango,R,-104.83757800000001,23.954162500000002,0
I feel weird cause everybody in Durango says moyotes and I call them zancudos😅,Wed Jul 28 02:11:15 +0000 2021,Durango,San Juan del Río,R,-104.479759,24.7946705,0
These moyotes are literally eating me up 🥲🥲,Wed Jul 28 14:23:29 +0000 2021,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
"El avión traía moyotes (moscos) y me picaron @Aeromexico 

🥲😥 

Vuelo AM0261 🙄🤡",Fri Aug 06 03:52:00 +0000 2021,México,Nezahualcóyotl,R,-99.087817,19.4320755,0
"Aquí viendo que creció el arroyo y el río.. 

*A 500 moyotes les gusta esto* https://t.co/OOv0SWd62J",Sat Aug 07 00:30:42 +0000 2021,Durango,Santiago Papasquiaro,R,-105.82011,25.007527500000002,25
"Me tiene hasta la madre los pinches  moyotes , que chingados les debemos o que? Porque tanto odio culeros !?",Tue Aug 10 15:11:20 +0000 2021,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
Estos moyotes se están  dando  un banquetazo,Thu Aug 12 03:46:18 +0000 2021,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
Pinches moyotes laguneros !,Tue Aug 24 12:53:23 +0000 2021,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
"Siempre que traigo zapatillas a la oficina, me pican en los pies los putos moyotes 😂",Thu Aug 26 15:39:20 +0000 2021,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
En mis tiempos los moyotes daban lata al caer el sol. Acá donde ando están 24/7 como en la planta donde trabajo. https://t.co/ykOT1ErTLd,Sat Aug 28 20:01:20 +0000 2021,Chihuahua,Hidalgo del Parral,R,-105.6835535,27.1164905,4
No se cansan de joder los moyotes 🦟,Sun Sep 12 22:51:31 +0000 2021,Chihuahua,Hidalgo del Parral,R,-105.6835535,27.1164905,4
Este año el calor y los moyotes creo que si estuvieron feos pero prefiero eso que el frío que no me lo puedo quitar ni tapándome,Mon Sep 20 18:19:38 +0000 2021,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
@Moyotec @PatyArmendariz @SSalud_mx ¿Que hagan bien los números? Pides teléfonos al limonero,Tue Oct 26 18:58:56 +0000 2021,Ciudad de México,Iztacalco,U,-99.09649599999999,19.399101,404695
Que burla que me acaben de picar dos moyotes casi en noviembre. Ya por favor que haga frío en forma.,Thu Oct 28 04:34:52 +0000 2021,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
"@Moyotec Tapitas o Bruschettas o Pinxos... (Pinchos) ... Charcutería... Pasta con champiñones , baguettes de jamón serrano etc",Thu Dec 30 02:28:32 +0000 2021,Jalisco,Zapopan,R,-103.48477450000001,20.790657000000003,40
"@Moyotec @ramonaguilarcz @Shini7o Es un mal colectivo en los celayenses, no es gracioso yo sigo llorando cada que lo mencionan.",Mon Jan 17 03:50:33 +0000 2022,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
