Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
@JAA_NOR @mnuez77 @MAI12MA @GARCIPAVON @AgnesAlessandr6 @la_grenitas @Jackie2theworld @mommy21931 @micm54… https://t.co/kRCZcI6dur,Tue Apr 21 23:12:14 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
@wonderlina @JAA_NOR @MAI12MA @mnuez77 @GARCIPAVON @AgnesAlessandr6 @la_grenitas @Jackie2theworld @mommy21931… https://t.co/KZzJV2mX6a,Wed Apr 22 03:05:10 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
"@edukaito15 @GARCIPAVON @lopezobrador_ Fué una farsa, le entregaron el poder a López a cambio de que no lo investiguen ( EPN).",Wed Apr 22 04:31:56 +0000 2020,Nuevo León,García,R,-100.640491,25.8057225,714
De por sí le tengo pavor a las arañas; me estaba quedando dormido y sentí algo moverse entre mi brazo y era un arañ… https://t.co/N7c5MEWagj,Wed Apr 22 06:25:08 +0000 2020,Querétaro,Corregidora,R,-100.43973100000001,20.478755,2494
@LaTraviataMS @wonderlina @GARCIPAVON @j_jjcazares Dos Bocas??? Masa las de la familia de AMLO????,Wed Apr 22 10:31:49 +0000 2020,Puebla,San Andrés Cholula,R,-98.308599,19.022994,246
@jhonsitoxh @LdaCantinas @Excelsior @Reforma @arenadeluna22 @GARCIPAVON @GlodeJo07 @claudia_marriol @CarlitoS_lim… https://t.co/snbaUROoPx,Wed Apr 22 11:11:37 +0000 2020,Jalisco,Zapopan,R,-103.48477450000001,20.790657000000003,40
@GARCIPAVON @letra Y también hay dengue e influenza cierto?,Wed Apr 22 15:10:12 +0000 2020,México,Ecatepec de Morelos,R,-99.0444445,19.56828,615
Y es que aún que compre otros 1000 pavos jajaja me faltarían 200 jaja para el kit completo solo podría comprar la s… https://t.co/OoleJD73X3,Wed Apr 22 16:06:31 +0000 2020,Ciudad de México,Coyoacán,U,-99.15234000000001,19.328383000000002,614447
@GARCIPAVON 👍👍👍👍👍👍👍👍👍,Wed Apr 22 16:15:50 +0000 2020,Chiapas,Tuxtla Gutiérrez,U,-93.13965950000001,16.7424355,578830
@GARCIPAVON 😱,Wed Apr 22 18:09:28 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
@renesitamx @GARCIPAVON @hdemauleon @MOALAR @dimitrov_sofia @T0SCANA_MX @patytadeperro @paezvarela @GlodeJo07… https://t.co/5pagTch57n,Wed Apr 22 18:40:26 +0000 2020,Jalisco,Zapopan,R,-103.48477450000001,20.790657000000003,40
@GARCIPAVON 👍👍👍👍👏👏👏👏🙋🏼‍♀️🙅‍♀️🙅‍♀️🙅‍♀️,Wed Apr 22 19:14:16 +0000 2020,Tlaxcala,Apizaco,U,-98.1218485,19.4260765,47632
"@GARCIPAVON Y comienza por Ecatepec, en donde esta el Canibal, secuestrador, descuartizador y destazador, donde mas… https://t.co/sg5Xlvv7QA",Wed Apr 22 19:17:53 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
@GARCIPAVON Deberían de preguntarle a las víctimas de los liberados que opinan. Si lo consideran correcto. Creo que… https://t.co/zWk4qlWzzU,Wed Apr 22 19:24:00 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
@CHIVISILVANITA @AgnesAlessandr6 @GARCIPAVON @la_chaire @StochasticsInc @adrianellle @Alex_Sada1 @kursanovo2… https://t.co/TcMry0Bp7j,Wed Apr 22 22:30:52 +0000 2020,Ciudad de México,Benito Juárez,U,-99.1614805,19.380613,434153
"@GARCIPAVON Doctora, no denigre a esa familia que ha sido santificada por AMLO, pero aqui en Guerrero: son BASURA.",Thu Apr 23 01:50:01 +0000 2020,Guerrero,Acapulco de Juárez,R,-99.73564950000001,16.9589495,5
"Les contaré una anécdota que me acaba de ocurrir, los que me conocen saben que les tengo pavor horrible a las cucar… https://t.co/FIKmeHfloe",Thu Apr 23 02:38:26 +0000 2020,Tamaulipas,Victoria,R,-99.187904,23.685934,0
"Albóndigas fit de pavo

Padrísima opción baja en grasa para esta cuarentena: 
✅económico
✅fácil
✅fit

🍍INGREDIENTES… https://t.co/bKLAlJLc76",Thu Apr 23 05:54:49 +0000 2020,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
"@GARCIPAVON Recurda que en 1980 nos llamaron de lo peor en salud licenciado, en educacion un dr y si busca sera igu… https://t.co/x1HBS3FMLD",Thu Apr 23 13:03:23 +0000 2020,Baja California,Mexicali,R,-115.22918000000001,31.789669500000002,19
@GARCIPAVON Jajaja,Thu Apr 23 15:11:42 +0000 2020,México,Ecatepec de Morelos,R,-99.0444445,19.56828,615
@GARCIPAVON Cultura Chairá no hay más que decir https://t.co/HkOBfzw789,Thu Apr 23 18:36:11 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
@GARCIPAVON @Rajubb Se cree James Bond el gato Gatell o que onda? Puro puto circo mediático el Cacas y su bola de b… https://t.co/eQZM2QIEK9,Fri Apr 24 01:19:06 +0000 2020,Jalisco,Zapopan,R,-103.48477450000001,20.790657000000003,40
Alguien me puede decir si tiene problemas para comprar pavos en la Nintendo eShop o solo soy yo. 😭 #Fortnite #Nintendo #NintendoSwitch,Fri Apr 24 02:02:55 +0000 2020,Ciudad de México,Iztacalco,U,-99.09649599999999,19.399101,404695
"@GARCIPAVON @lopezobrador_ Así es y no es nuevo, mucha gente dejo de ir a los E U. Para tratarse sus enfermedades c… https://t.co/pwPDjxQD30",Fri Apr 24 06:12:29 +0000 2020,Ciudad de México,La Magdalena Contreras,U,-99.24800950000001,19.318042,246428
"@GARCIPAVON @VeroRossette De verdad, de verdad, cuánta Estupidez rodea 
a López Obrador, pobre
de nuestro inculto P… https://t.co/lNLrBQqRcv",Fri Apr 24 17:01:26 +0000 2020,Quintana Roo,Puerto Morelos,R,-87.0316645,21.048719,0
"@Elmasderecho1 @Max_Power_Mex @GARCIPAVON Sí, de repente se dejan ir todos como coyotes jajaja",Fri Apr 24 17:50:21 +0000 2020,Sinaloa,Mazatlán,R,-106.2717475,23.46814,0
@GARCIPAVON Abrazando y besando...,Fri Apr 24 18:58:20 +0000 2020,Ciudad de México,Benito Juárez,U,-99.1614805,19.380613,434153
"@adriana_jvv Xq andaba hablando pura pendejada amiga,creyendo que no se oía y enseñando los pavos jajajajajaja, hic… https://t.co/W9tQxCt1tq",Fri Apr 24 20:19:37 +0000 2020,Sinaloa,El Fuerte,R,-108.643339,26.252688,256
@GARCIPAVON Ja ja ja,Fri Apr 24 22:06:41 +0000 2020,Ciudad de México,Iztapalapa,U,-99.050461,19.342788499999997,1835486
@GARCIPAVON @conchitadiez lopes va con todo para ganar la gran final https://t.co/85WzduYswU,Fri Apr 24 22:14:51 +0000 2020,Tlaxcala,Xaltocan,R,-98.24392049999999,19.4198905,-
@saamariv @GARCIPAVON @maguto63 Mire aquí dele click y cuando abra la página se desliza hasta abajo y pone su corre… https://t.co/ouIscXnYHI,Fri Apr 24 22:53:51 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
@lalakes1 @carmen_olvera @O_Diosa78 @BisouCaramel @GARCIPAVON @LULALAR @ricky_jc @rolandpaz @dimitrov_sofia… https://t.co/zzjKA5bHCT,Fri Apr 24 23:07:43 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
@_Jesus_Alanis @micm54 @pepe_genesis07 @carmen_olvera @terelagos @Bele6950 @EGaona14 @GARCIPAVON @lino_espejo… https://t.co/Y641xbUFcp,Sat Apr 25 00:06:52 +0000 2020,Chiapas,Tuxtla Gutiérrez,U,-93.13965950000001,16.7424355,578830
5 min antes de volver a entrar a burbuja!!! en HG General Jose Ma Morelos y Pavon issste https://t.co/CKi5GmCWrE,Sat Apr 25 01:10:06 +0000 2020,Ciudad de México,Iztapalapa,U,-99.050461,19.342788499999997,1835486
@SrDonBot @Dohko_Wolf @gog_antonio @martinezadvisor @_CarlosRN_ @GARCIPAVON @erik_torrijos @Ferthor69… https://t.co/cKTtCUI7D6,Tue Mar 31 05:08:09 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
@KikePavon 😮,Sat Apr 25 04:11:45 +0000 2020,Coahuila de Zaragoza,Monclova,R,-101.220857,26.878203499999998,0
@SmashComunism @GARCIPAVON @diariocorreo Amo a Nicholas Cage 😍,Sat Apr 25 06:03:49 +0000 2020,México,Nezahualcóyotl,R,-99.01701650000001,19.432722,85
@SmashComunism @GARCIPAVON @diariocorreo 🤣🤣🤣🤣🤣🤣🤣❤,Sat Apr 25 06:08:07 +0000 2020,México,Nezahualcóyotl,R,-99.01701650000001,19.432722,85
@GARCIPAVON Dios los guarde. https://t.co/OPfPYGpoXE,Sat Apr 25 06:14:58 +0000 2020,Puebla,Amozoc,R,-98.1542665,19.0322295,616
@GARCIPAVON Es chairo! Adiviné!!,Sat Apr 25 12:16:39 +0000 2020,Jalisco,Zapopan,R,-103.48477450000001,20.790657000000003,40
@DyanShalom @Trolmalpagado @Alex_Sada1 @GARCIPAVON @carla_ponti @micm54 @EnriqueHFernan1 @rayoguzmanc @Eve_Garcia_1… https://t.co/6va0Ur9a3k,Sat Apr 25 13:54:10 +0000 2020,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
"@SilviaPMaya @GARCIPAVON Debemos hacerlo desde ya, querida Silvia.",Sat Apr 25 14:22:21 +0000 2020,Chiapas,Tuxtla Gutiérrez,U,-93.13965950000001,16.7424355,578830
@_Jesus_Alanis @micm54 @pepe_genesis07 @carmen_olvera @terelagos @Bele6950 @EGaona14 @GARCIPAVON @lino_espejo… https://t.co/Xd9fEl1VEY,Sat Apr 25 15:56:14 +0000 2020,Chiapas,Tuxtla Gutiérrez,U,-93.13965950000001,16.7424355,578830
@GARCIPAVON Y de fondo la 5a sinfonía https://t.co/ZmYNHzBS3N,Sat Apr 25 18:03:57 +0000 2020,Chiapas,Tuxtla Gutiérrez,U,-93.13965950000001,16.7424355,578830
@GARCIPAVON Ando buscando...,Sat Apr 25 18:43:33 +0000 2020,Chiapas,Tuxtla Gutiérrez,U,-93.13965950000001,16.7424355,578830
Me está entrando pavor de que la humanidad haya cambiado para siempre. Imagino que éste virus no se vaya nunca y es… https://t.co/3Ws6242OIW,Sat Apr 25 20:08:38 +0000 2020,Nuevo León,Monterrey,U,-100.29359149999999,25.6417185,1142952
"Esto es lo que estamos viviendo en @JesusFestOk ✝️❤️ con 
@KikePavon 
@Mielsanmarcos
@pastoralegomez
@chrisAmendez… https://t.co/apfl2ZlRfa",Sat Apr 25 20:25:00 +0000 2020,México,Tlalnepantla de Baz,U,-99.1158905,19.518656,13030
@GARCIPAVON Excelente.,Sat Apr 25 21:28:56 +0000 2020,Ciudad de México,Iztapalapa,U,-99.050461,19.342788499999997,1835486
@whitestar772010 @mari4n46lez @nnunezortiz @Alex_Sada1 @GARCIPAVON @Maytee2302 @2013sarte @Plecll891… https://t.co/E8w0vzeTvw,Tue Mar 31 06:44:55 +0000 2020,Sinaloa,Culiacán,R,-107.3420565,24.6624885,0
@GARCIPAVON @AvNacionalista @AgnesAlessandr6 @letyochoatwitte @SATMX @Alex_Sada1 @Eliasfarah3 @SheriffAnti… https://t.co/Q82BePpCcS,Tue Mar 31 14:33:57 +0000 2020,Baja California,Mexicali,R,-115.22918000000001,31.789669500000002,19
@GARCIPAVON https://t.co/EzO8SPdnmh,Tue Mar 31 14:48:21 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
@GARCIPAVON y vendrán cosas peores Bolivarianas ya que así está adoctrinado para actuar así con dolo y como está ag… https://t.co/IwitShUkdN,Tue Mar 31 14:49:08 +0000 2020,Jalisco,Guadalajara,U,-103.335882,20.676651999999997,1385621
@germanlopezm1 @mapileri @micm54 @GARCIPAVON @AgnesAlessandr6 @mari4n46lez @Eve_Garcia_1 @Becerra360 @delicositas… https://t.co/6gcyrpqYkf,Tue Mar 31 14:58:36 +0000 2020,Sonora,Hermosillo,R,-111.498181,28.9698625,5
@GARCIPAVON Quieren negar fue en cumple ahi estaban su mama hermanas tio y hermano de ovidio y que fue a saludar a… https://t.co/8Gj3Z2HOjG,Tue Mar 31 20:19:49 +0000 2020,Baja California,Mexicali,R,-115.22918000000001,31.789669500000002,19
Dios míos . Estoy en la raya entre tragar porquerías o no comer nada. Que ansiedad pero no quiero engordar. Me da pavor subir de peso😢,Tue Mar 31 20:27:26 +0000 2020,Veracruz de Ignacio de la Llave,Coatzacoalcos,U,-94.43248200000001,18.135455,212540
Dios mío . Estoy en la raya entre tragar porquerías o no comer nada. Que ansiedad pero no quiero engordar. Me da pavor subir de peso😢,Tue Mar 31 20:27:42 +0000 2020,Veracruz de Ignacio de la Llave,Coatzacoalcos,U,-94.43248200000001,18.135455,212540
"@ManoloSegovia87 @juanjipavon @markwahlberg Esta muy buena, cuando la vi en el cine me reí mucho!!!",Tue Mar 31 22:03:28 +0000 2020,Campeche,Campeche,R,-90.27714,19.601414,0
@peper84 @MarinaReynoso14 @GARCIPAVON @micm54 @todoenella @Ballttazzar @DaddyNoroa12 @nenadelafuente @BravaGm… https://t.co/aYfLP9DmQM,Wed Apr 01 02:48:29 +0000 2020,Oaxaca,Santa Cruz Xoxocotlán,R,-96.7575325,17.008149500000002,89
@peper84 @MarinaReynoso14 @GARCIPAVON @micm54 @todoenella @Ballttazzar @DaddyNoroa12 @nenadelafuente @BravaGm… https://t.co/cMq7UGUiCZ,Wed Apr 01 02:56:42 +0000 2020,Oaxaca,Santa Cruz Xoxocotlán,R,-96.7575325,17.008149500000002,89
@peper84 @MarinaReynoso14 @GARCIPAVON @micm54 @todoenella @Ballttazzar @DaddyNoroa12 @nenadelafuente @BravaGm… https://t.co/h67n4Jqxvu,Wed Apr 01 02:59:23 +0000 2020,Oaxaca,Santa Cruz Xoxocotlán,R,-96.7575325,17.008149500000002,89
@tetum22 @aldalucia @germanlopezm1 @mapileri @micm54 @GARCIPAVON @AgnesAlessandr6 @mari4n46lez @Eve_Garcia_1… https://t.co/vwTEl1LO2b,Wed Apr 01 03:23:44 +0000 2020,Sonora,Cajeme,R,-109.84179,27.713652500000002,0
