Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
"Encontré el amor verdadero* en Costco. 

*Amor verdadero= jamón de pechuga de pavo ahumado por kilo.",Tue Apr 21 22:05:02 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
@JAA_NOR @mnuez77 @MAI12MA @GARCIPAVON @AgnesAlessandr6 @la_grenitas @Jackie2theworld @mommy21931 @micm54… https://t.co/kRCZcI6dur,Tue Apr 21 23:12:14 +0000 2020,"Querétaro, Querétaro Arteaga",-100.596343,20.50317,-100.596343,20.927379,-100.284846,20.927379,-100.284846,20.50317
@manuelpavon74,Wed Apr 22 01:37:26 +0000 2020,"Solidaridad, Quintana Roo",-87.777003,20.356869,-87.777003,20.812192,-86.916961,20.812192,-86.916961,20.356869
Pavone le pone número a la casa! https://t.co/QjySrm7YyA,Wed Apr 22 01:43:34 +0000 2020,"Atizapán de Zaragoza, México",-99.330259,19.51799,-99.330259,19.611185,-99.208125,19.611185,-99.208125,19.51799
@wonderlina @JAA_NOR @MAI12MA @mnuez77 @GARCIPAVON @AgnesAlessandr6 @la_grenitas @Jackie2theworld @mommy21931… https://t.co/KZzJV2mX6a,Wed Apr 22 03:05:10 +0000 2020,"Querétaro, Querétaro Arteaga",-100.596343,20.50317,-100.596343,20.927379,-100.284846,20.927379,-100.284846,20.50317
"@SheranMigoni Una navidad nos sacamos un pavo congelado en una rifa y como nunca en la vida habíamos comido pavo, h… https://t.co/HK6Smw1n1c",Wed Apr 22 03:06:39 +0000 2020,"Ciudad Madero, Tamaulipas",-97.86013,22.237664,-97.86013,22.328388,-97.784943,22.328388,-97.784943,22.237664
@GlodeJo07 De pavor!,Wed Apr 22 04:12:33 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
"@edukaito15 @GARCIPAVON @lopezobrador_ Fué una farsa, le entregaron el poder a López a cambio de que no lo investiguen ( EPN).",Wed Apr 22 04:31:56 +0000 2020,"García, Nuevo León",-100.865061,25.628133,-100.865061,25.983312,-100.415921,25.983312,-100.415921,25.628133
"No tengo miedo de apostarte, perderte si me da pavor",Wed Apr 22 05:30:34 +0000 2020,"Martínez de la Torre, Veracruz de Ignacio de la Llave",-97.158013,19.959506,-97.158013,20.280066,-96.943949,20.280066,-96.943949,19.959506
De por sí le tengo pavor a las arañas; me estaba quedando dormido y sentí algo moverse entre mi brazo y era un arañ… https://t.co/N7c5MEWagj,Wed Apr 22 06:25:08 +0000 2020,"Corregidora, Querétaro Arteaga",-100.508629,20.361791,-100.508629,20.595719,-100.370833,20.595719,-100.370833,20.361791
