Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
"Cachetada guajolotera, arañazo, mallugón de bubi y otras técnicas femeninas para romper madres.",Tue Apr 21 21:27:22 +0000 2020,Nuevo León,"General Escobedo, Bios (Las Antonias)",R,-100.3652735,25.807314499999997,1
"@fermar_hdz Yo no estaba llena de arañazos bueno solo cuando teníamos gatos bebés por que ellos aún no sabían controlar su fuerza.

XD",Thu Apr 23 12:39:01 +0000 2020,México,"Nezahualcóyotl, Nezahualcóyotl Segundo [Relleno Sanitario]",R,-99.01701650000001,19.432722,23
Hoy les tocó desparasitada a los gatos y arañazos a @anea_colacao y a mi . Ese Tanto le hace honor a su nombre https://t.co/Sw0nRoJ4EX,Sun Apr 05 03:40:43 +0000 2020,Ciudad de México,"Azcapotzalco, Azcapotzalco",U,-99.18212600000001,19.4857835,432205
"@lamadela Jaja ni los bañaste nadamas les echaste agua jajaja,ches arañazos tan cañones ,",Sun Apr 05 06:45:42 +0000 2020,Jalisco,"Zapopan, Tesistán (San Francisco Tesistán)",U,-103.48477450000001,20.790657000000003,91631
"@PulkaRodrigo @radiolared Si, como 5 arañazos",Sun Apr 26 17:59:57 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
@PequeeBonn Excepto si son de arañazos,Fri Apr 10 17:15:22 +0000 2020,Veracruz de Ignacio de la Llave,"Veracruz, Valente Díaz",U,-96.22939650000001,19.183953,36818
"Con tal de distraer del problema principal que es la pandemias, el gobierno se agarra a arañazos con su cuate Salin… https://t.co/sJxtapozxh",Sun Apr 19 01:34:47 +0000 2020,Veracruz de Ignacio de la Llave,"Poza Rica de Hidalgo, Poza Rica de Hidalgo",U,-97.44749449999999,20.536509000000002,180057
"A la mañana siguiente, quise pensar que todo era una pesadilla, pero revisé la pared y ahí estaban los arañazos.

Y… https://t.co/mAuel80G5O",Mon Apr 20 00:05:05 +0000 2020,Ciudad de México,"Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153
"Que es un arañazo?

Pues una araña macho muy grande.

🤣😒",Sat May 02 11:28:12 +0000 2020,México,"Ecatepec de Morelos, Ecatepec de Morelos",U,-99.0444445,19.56828,1643623
"Mi BB si supieras lo que extraño tus mordidas y arañazos ...🥺😭

#onix #blackcat #kittens #sad @ Valle Verde Sector… https://t.co/nQuJTYMjro",Wed May 06 15:12:49 +0000 2020,Nuevo León,"Monterrey, Monterrey",U,-100.29359149999999,25.6417185,1142952
"Si no tienes arañazos en los brazos, no tienes gatos.",Fri May 08 07:05:15 +0000 2020,Nuevo León,"Monterrey, Monterrey",U,-100.29359149999999,25.6417185,1142952
"@azaelc Con esas manos de mariconcito, no vas ni con arañazos.",Sat May 09 20:46:26 +0000 2020,Quintana Roo,"Benito Juárez, Premasa del Caribe",R,-87.0316645,21.048719,0
@elgatopolitico_ No olvidar que #LordMontajes esta dando arañazos para poder prenderse de un huesito.,Thu May 14 16:27:37 +0000 2020,México,"Valle de Bravo, Monte Alto",R,-100.1125095,19.1713575,324
"Otra día sin sexo y arañazos en la espalda. 

Otro día perdido.",Thu May 21 06:23:23 +0000 2020,México,"Toluca, Toluca de Lerdo",U,-99.655676,19.284321499999997,223876
"@diana_ra16 Arañazos de otras chavistas, cuenta?",Sun May 24 17:20:55 +0000 2020,Guerrero,"Chilpancingo de los Bravo, Inscuinatoyac (El Pueblito)",R,-99.72418149999999,17.3916575,663
"Voces paplitan dentro de mí,
los dedos mojados,
las tintas lumínicas,
la fiebre ciclónica,
el arañazo
desgarra y se derrama...",Thu May 28 01:36:43 +0000 2020,México,"Naucalpan de Juárez, Cipreses (Las Julianas)",R,-99.310428,19.473793999999998,222
"A veces, solo a veces una no necesita abrazos, palabras bonitas o miradas tiernas. Basta con arañazos en la espalda… https://t.co/nY29YpBCp0",Sat May 30 15:44:25 +0000 2020,San Luis Potosí,"San Luis Potosí, Jorge Ramos",R,-100.955511,22.3111195,0
