Estado,Ocurrencias
Aguascalientes,86
Baja California,115
Baja California Sur,21
Campeche,18
Chiapas,54
Chihuahua,91
Ciudad de México,2139
Coahuila,69
Colima,42
Durango,35
Estado de México,650
Guanajuato,299
Guerrero,258
Hidalgo,79
Jalisco,463
Michoacán,102
Morelos,95
Nayarit,31
Nuevo León,448
Oaxaca,74
Puebla,169
Querétaro,232
Quintana Roo,159
San Luis Potosí,137
Sinaloa,103
Sonora,62
Tabasco,91
Tamaulipas,77
Tlaxcala,30
Veracruz,220
Yucatán,77
Zacatecas,51
Total,6577
