Estado,Ocurrencias
Aguascalientes,448
Baja California,2228
Baja California Sur,587
Campeche,329
Chiapas,604
Chihuahua,1272
Ciudad de México,8576
Coahuila,1395
Colima,196
Durango,552
Estado de México,3564
Guanajuato,1358
Guerrero,489
Hidalgo,571
Jalisco,4378
Michoacán,619
Morelos,583
Nayarit,237
Nuevo León,7253
Oaxaca,380
Puebla,1841
Querétaro,1249
Quintana Roo,1091
San Luis Potosí,846
Sinaloa,3002
Sonora,4461
Tabasco,931
Tamaulipas,1482
Tlaxcala,170
Veracruz,1983
Yucatán,825
Zacatecas,333
Total,53833
