Estado,colibri,chupamirto,chuparrosa,chupaflor
Aguascalientes,201,2,0,0
Baja California,244,0,0,1
Baja California Sur,54,0,1,0
Campeche,30,0,0,0
Chiapas,139,0,0,0
Chihuahua,121,0,0,0
Ciudad de México,2857,7,1,0
Coahuila de Zaragoza,124,0,0,0
Colima,34,0,0,0
Durango,114,0,0,0
México,1183,5,1,0
Guanajuato,391,2,4,0
Guerrero,295,2,0,0
Hidalgo,64,1,0,0
Jalisco,543,0,0,0
Michoacán de Ocampo,124,1,1,0
Morelos,104,2,0,0
Nayarit,38,0,1,0
Nuevo León,863,1,0,0
Oaxaca,127,0,0,0
Puebla,450,2,0,0
Querétaro,212,1,0,0
Quintana Roo,199,0,0,0
San Luis Potosí,97,0,1,0
Sinaloa,139,0,10,0
Sonora,289,0,2,0
Tabasco,110,0,0,0
Tamaulipas,153,3,3,0
Tlaxcala,51,0,0,0
Veracruz de Ignacio de la Llave,362,0,1,0
Yucatán,135,0,1,0
Zacatecas,172,0,0,0
Total,10019,29,27,1
