Estado,comezon,picazon,rasquera,rasquiña
Aguascalientes,37,1,0,0
Baja California,70,8,1,0
Baja California Sur,14,0,0,0
Campeche,18,11,0,0
Chiapas,23,5,0,0
Chihuahua,93,3,0,0
Ciudad de México,686,35,0,1
Coahuila de Zaragoza,102,6,0,1
Colima,12,0,0,0
Durango,43,3,0,0
México,257,17,0,0
Guanajuato,123,3,0,0
Guerrero,24,6,1,9
Hidalgo,57,12,0,0
Jalisco,279,28,0,0
Michoacán de Ocampo,47,4,0,0
Morelos,59,2,0,0
Nayarit,8,0,0,0
Nuevo León,482,21,0,1
Oaxaca,18,1,0,0
Puebla,104,6,0,1
Querétaro,197,5,0,0
Quintana Roo,78,31,1,1
San Luis Potosí,72,3,0,0
Sinaloa,108,0,2,0
Sonora,117,20,12,0
Tabasco,61,58,0,1
Tamaulipas,98,3,0,0
Tlaxcala,17,0,0,0
Veracruz de Ignacio de la Llave,144,35,0,3
Yucatán,79,32,0,0
Zacatecas,33,0,0,0
Total,3560,359,17,18
