Estado,esquite,trolelote,chasca,elote en vaso,vasolote,elote feliz,coctel de elote,elote desgranado
Aguascalientes,34,5,245,0,0,0,0,0
Baja California,75,2,37,0,2,0,0,0
Baja California Sur,19,0,6,0,0,0,0,0
Campeche,87,3,10,0,0,0,0,0
Chiapas,81,1,8,0,0,0,0,0
Chihuahua,72,0,29,4,1,0,0,0
Ciudad de México,1353,27,397,2,7,0,0,0
Coahuila de Zaragoza,51,2,17,0,0,0,0,1
Colima,18,0,13,0,0,0,0,0
Durango,11,0,6,1,0,0,0,0
México,519,3,100,2,3,0,0,0
Guanajuato,147,1,31,0,3,0,0,0
Guerrero,109,0,14,0,0,0,0,0
Hidalgo,154,4,15,0,0,0,0,0
Jalisco,219,2,155,5,0,0,0,0
Michoacán de Ocampo,58,0,17,0,35,0,0,0
Morelos,962,0,6,0,1,0,0,0
Nayarit,10,0,38,1,0,0,0,0
Nuevo León,218,17,144,8,3,0,0,1
Oaxaca,137,1,26,0,1,0,0,0
Puebla,495,3,37,1,0,0,0,0
Querétaro,266,4,56,2,2,0,0,0
Quintana Roo,297,0,34,1,0,0,0,0
San Luis Potosí,41,15,15,1,0,0,0,0
Sinaloa,295,3,19,0,0,0,0,0
Sonora,70,0,71,0,0,0,1,0
Tabasco,201,1,12,0,0,0,0,0
Tamaulipas,66,45,28,1,0,0,0,0
Tlaxcala,27,0,2,0,0,0,0,0
Veracruz de Ignacio de la Llave,641,23,110,0,0,0,0,0
Yucatán,375,2,31,0,0,0,0,0
Zacatecas,38,1,19,0,0,0,0,0
Total,7146,165,1748,29,58,0,1,2
