Estado,Ocurrencias
Aguascalientes,4
Baja California,9
Baja California Sur,1
Campeche,0
Chiapas,1
Chihuahua,7
Ciudad de México,122
Coahuila de Zaragoza,3
Colima,2
Durango,1
México,23
Guanajuato,9
Guerrero,2
Hidalgo,6
Jalisco,30
Michoacán de Ocampo,1
Morelos,3
Nayarit,1
Nuevo León,26
Oaxaca,7
Puebla,11
Querétaro,24
Quintana Roo,8
San Luis Potosí,4
Sinaloa,8
Sonora,7
Tabasco,6
Tamaulipas,4
Tlaxcala,0
Veracruz de Ignacio de la Llave,13
Yucatán,9
Zacatecas,0
Total,352
