Estado,habitacion,alcoba,dormitorio,recamara
Aguascalientes,82,13,3,38
Baja California,202,6,9,105
Baja California Sur,74,5,1,25
Campeche,87,3,5,10
Chiapas,230,2,2,54
Chihuahua,132,5,2,72
Ciudad de México,3631,134,73,871
Coahuila de Zaragoza,176,9,13,41
Colima,31,1,2,32
Durango,92,6,2,27
México,1016,34,36,371
Guanajuato,341,10,7,80
Guerrero,222,7,5,84
Hidalgo,135,6,2,219
Jalisco,1310,24,26,253
Michoacán de Ocampo,138,1,1,53
Morelos,182,5,0,86
Nayarit,61,0,1,22
Nuevo León,749,19,16,290
Oaxaca,212,3,12,43
Puebla,1037,14,23,226
Querétaro,345,6,7,167
Quintana Roo,641,10,8,248
San Luis Potosí,178,5,5,400
Sinaloa,237,6,15,390
Sonora,209,2,8,119
Tabasco,172,59,5,118
Tamaulipas,198,4,5,82
Tlaxcala,61,2,0,22
Veracruz de Ignacio de la Llave,649,23,14,257
Yucatán,405,9,5,86
Zacatecas,116,1,0,25
Total,13351,434,313,4916
