Estado,legaña,lagaña,chinguiña
Aguascalientes,1,0,0
Baja California,0,7,0
Baja California Sur,0,1,0
Campeche,0,1,0
Chiapas,0,1,0
Chihuahua,0,5,0
Ciudad de México,1,29,12
Coahuila de Zaragoza,0,1,0
Colima,0,1,0
Durango,0,2,0
México,0,12,12
Guanajuato,0,10,1
Guerrero,0,0,0
Hidalgo,0,3,0
Jalisco,0,11,0
Michoacán de Ocampo,0,2,0
Morelos,0,0,0
Nayarit,0,1,0
Nuevo León,0,26,0
Oaxaca,0,0,0
Puebla,0,6,6
Querétaro,1,5,2
Quintana Roo,0,3,0
San Luis Potosí,0,1,0
Sinaloa,0,5,0
Sonora,0,6,0
Tabasco,1,3,0
Tamaulipas,0,4,0
Tlaxcala,0,0,1
Veracruz de Ignacio de la Llave,0,6,2
Yucatán,0,2,0
Zacatecas,0,2,1
Total,4,156,37
