Estado,Ocurrencias
Aguascalientes,275
Baja California,439
Baja California Sur,61
Campeche,97
Chiapas,190
Chihuahua,234
Ciudad de México,3894
Coahuila,240
Colima,31
Durango,180
Estado de México,1532
Guanajuato,467
Guerrero,179
Hidalgo,182
Jalisco,1200
Michoacán,197
Morelos,202
Nayarit,98
Nuevo León,1858
Oaxaca,133
Puebla,535
Querétaro,525
Quintana Roo,485
San Luis Potosí,140
Sinaloa,240
Sonora,400
Tabasco,275
Tamaulipas,220
Tlaxcala,42
Veracruz,654
Yucatán,742
Zacatecas,136
Total,16083
