Estado,Ocurrencias
Aguascalientes,24
Baja California,36
Baja California Sur,92
Campeche,29
Chiapas,58
Chihuahua,97
Ciudad de México,438
Coahuila,69
Colima,11
Durango,21
Estado de México,581
Guanajuato,81
Guerrero,25
Hidalgo,34
Jalisco,192
Michoacán,29
Morelos,63
Nayarit,26
Nuevo León,246
Oaxaca,40
Puebla,104
Querétaro,122
Quintana Roo,101
San Luis Potosí,42
Sinaloa,43
Sonora,92
Tabasco,60
Tamaulipas,118
Tlaxcala,7
Veracruz,139
Yucatán,116
Zacatecas,23
Total,3159
